GardID,DataSource,SourceID,SourceLabelID,GeneCount,GeneSymbol,GeneSynonym,GeneTitle,GeneType,Locus,AssociationType,AssociationStatus,Reference,OMIM,Ensembl,IUPHAR,SwissProt,Reactome,GeneIdentifier
GARD:0010947,Orphanet,178338,ORPHA:178338,3,UVSSA,,UV stimulated scaffold protein A,gene with protein product,4p16.3,Disease-causing germline mutation(s) in,Assessed,"[PMID:22466610, PMID:22466611, PMID:22466612]",614632,ENSG00000163945,,Q2YD98,Q2YD98,HGNC:29304
GARD:0010947,Orphanet,178338,ORPHA:178338,3,ERCC8,[CSA],"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",gene with protein product,5q12.1,Disease-causing germline mutation(s) in,Assessed,[PMID:19329487],609412,ENSG00000049167,,Q13216,Q13216,HGNC:3439
GARD:0010947,Orphanet,178338,ORPHA:178338,3,ERCC6,"[ARMD5, CSB, Cockayne syndrome B protein, RAD26]","ERCC excision repair 6, chromatin remodeling factor",gene with protein product,10q11.23,Disease-causing germline mutation(s) in,Assessed,[PMID:15486090],609413,ENSG00000225830,,Q03468,Q03468,HGNC:3438
GARD:0010954,Orphanet,6,ORPHA:6,2,MCCC2,"[3-methylcrotonyl-CoA carboxylase non-biotin containing subunit, MCCB, MCCCß, methylcrotonoyl-CoA carboxylase beta]",methylcrotonyl-CoA carboxylase subunit 2,gene with protein product,5q13.2,Disease-causing germline mutation(s) in,Assessed,"[PMID:22264772, PMID:22642865]",609014,ENSG00000131844,,Q9HCC0,Q9HCC0,HGNC:6937
GARD:0010954,Orphanet,6,ORPHA:6,2,MCCC1,"[3-methylcrotonyl-CoA carboxylase biotin containing subunit, MCCA, MCCCa, methylcrotonoyl-CoA carboxylase alpha]",methylcrotonyl-CoA carboxylase subunit 1,gene with protein product,3q27.1,Disease-causing germline mutation(s) in,Assessed,"[PMID:22264772, PMID:22642865]",609010,ENSG00000078070,,Q96RQ3,Q96RQ3,HGNC:6936
GARD:0010955,Orphanet,648,ORPHA:648,14,PTPN11,"[BPTP3, PTP2C, SH-PTP2, SH2 domain-containing protein tyrosine phosphatase 2, SHP-2, SHP2]",protein tyrosine phosphatase non-receptor type 11,gene with protein product,12q24.13,Disease-causing germline mutation(s) in,Assessed,[PMID:19760651],176876,ENSG00000179295,,Q06124,Q06124,HGNC:9644
GARD:0010955,Orphanet,648,ORPHA:648,14,SOS2,,SOS Ras/Rho guanine nucleotide exchange factor 2,gene with protein product,14q21.3,Disease-causing germline mutation(s) in,Assessed,[PMID:25795793],601247,ENSG00000100485,,Q07890,Q07890,HGNC:11188
GARD:0010955,Orphanet,648,ORPHA:648,14,RRAS,"[Oncogene RRAS, R-Ras]",RAS related,gene with protein product,19q13.33,Candidate gene tested in,Not yet assessed,[PMID:24705357],165090,ENSG00000126458,,P10301,P10301,HGNC:10447
GARD:0010955,Orphanet,648,ORPHA:648,14,KRAS,"[K-Ras4B, KRAS1]","KRAS proto-oncogene, GTPase",gene with protein product,12p12.1,Disease-causing germline mutation(s) in,Assessed,[PMID:16773572],190070,ENSG00000133703,2824,P01116,P01116,HGNC:6407
GARD:0010955,Orphanet,648,ORPHA:648,14,CBL,"[RNF55, c-Cbl, oncogene CBL2]",Cbl proto-oncogene,gene with protein product,11q23.3,Disease-causing germline mutation(s) in,Assessed,[PMID:25952305],165360,ENSG00000110395,,P22681,P22681,HGNC:1541
