PARENT_GARD,CHILD_GARD
GARD:0002876,GARD:0000005
GARD:0015127,GARD:0000005
GARD:0015376,GARD:0000005
GARD:0009879,GARD:0000006
GARD:0004302,GARD:0000006
GARD:0001300,GARD:0000006
GARD:0000983,GARD:0000006
GARD:0000507,GARD:0000006
GARD:0000506,GARD:0000006
GARD:0015036,GARD:0000011
GARD:0015845,GARD:0000011
GARD:0019704,GARD:0000012
GARD:0019703,GARD:0000012
GARD:0009701,GARD:0000017
GARD:0018008,GARD:0000023
GARD:0010213,GARD:0000023
GARD:0021813,GARD:0000037
GARD:0003750,GARD:0000037
GARD:0016448,GARD:0000048
GARD:0016417,GARD:0000048
GARD:0016416,GARD:0000048
GARD:0016415,GARD:0000048
GARD:0016414,GARD:0000048
GARD:0016413,GARD:0000048
GARD:0016412,GARD:0000048
GARD:0016411,GARD:0000048
GARD:0016410,GARD:0000048
GARD:0016409,GARD:0000048
GARD:0016408,GARD:0000048
GARD:0016407,GARD:0000048
GARD:0016406,GARD:0000048
GARD:0016405,GARD:0000048
GARD:0016404,GARD:0000048
GARD:0015158,GARD:0000048
GARD:0016638,GARD:0000049
GARD:0017340,GARD:0000049
GARD:0019611,GARD:0000060
GARD:0006125,GARD:0000060
GARD:0006033,GARD:0000060
GARD:0015199,GARD:0000065
GARD:0015281,GARD:0000065
GARD:0016247,GARD:0000065
GARD:0016248,GARD:0000065
GARD:0016249,GARD:0000065
GARD:0016343,GARD:0000065
GARD:0016344,GARD:0000065
GARD:0016345,GARD:0000065
GARD:0010427,GARD:0000076
GARD:0002057,GARD:0000076
GARD:0002048,GARD:0000076
GARD:0009295,GARD:0000085
GARD:0001402,GARD:0000085
GARD:0015304,GARD:0000087
GARD:0022439,GARD:0000101
GARD:0017792,GARD:0000101
GARD:0017443,GARD:0000101
GARD:0012719,GARD:0000101
GARD:0012718,GARD:0000101
GARD:0011925,GARD:0000101
GARD:0022335,GARD:0000102
GARD:0022336,GARD:0000102
GARD:0022337,GARD:0000102
GARD:0015907,GARD:0000104
GARD:0016078,GARD:0000122
GARD:0019885,GARD:0000132
GARD:0018839,GARD:0000132
GARD:0017533,GARD:0000132
GARD:0017466,GARD:0000132
GARD:0010562,GARD:0000132
GARD:0015204,GARD:0000156
GARD:0015205,GARD:0000156
GARD:0015624,GARD:0000156
GARD:0015625,GARD:0000156
GARD:0015626,GARD:0000156
GARD:0015915,GARD:0000156
GARD:0015948,GARD:0000156
GARD:0017879,GARD:0000166
GARD:0017876,GARD:0000166
GARD:0015359,GARD:0000181
GARD:0015314,GARD:0000181
GARD:0018645,GARD:0000206
GARD:0016825,GARD:0000206
GARD:0016824,GARD:0000206
GARD:0020530,GARD:0000221
GARD:0020525,GARD:0000221
GARD:0016918,GARD:0000231
GARD:0016919,GARD:0000231
GARD:0016978,GARD:0000231
GARD:0016979,GARD:0000231
GARD:0016980,GARD:0000231
GARD:0015309,GARD:0000272
GARD:0016568,GARD:0000312
GARD:0016620,GARD:0000312
GARD:0016145,GARD:0000322
GARD:0016081,GARD:0000322
GARD:0015852,GARD:0000322
GARD:0015681,GARD:0000322
GARD:0015476,GARD:0000322
GARD:0015451,GARD:0000322
GARD:0015406,GARD:0000322
GARD:0015405,GARD:0000322
GARD:0016136,GARD:0000346
GARD:0016095,GARD:0000346
GARD:0015917,GARD:0000346
GARD:0015742,GARD:0000346
GARD:0015741,GARD:0000346
GARD:0020733,GARD:0000348
GARD:0015680,GARD:0000359
GARD:0015757,GARD:0000359
GARD:0015796,GARD:0000359
GARD:0016189,GARD:0000359
GARD:0019378,GARD:0000379
GARD:0019377,GARD:0000379
GARD:0016854,GARD:0000379
GARD:0015071,GARD:0000385
GARD:0016115,GARD:0000385
GARD:0016371,GARD:0000385
GARD:0016286,GARD:0000386
GARD:0015238,GARD:0000386
GARD:0015267,GARD:0000399
GARD:0015249,GARD:0000399
GARD:0012404,GARD:0000457
GARD:0015031,GARD:0000508
GARD:0015130,GARD:0000514
GARD:0019694,GARD:0000522
GARD:0016920,GARD:0000522
GARD:0021490,GARD:0000524
GARD:0019697,GARD:0000524
GARD:0015248,GARD:0000547
GARD:0015131,GARD:0000555
GARD:0015132,GARD:0000558
GARD:0015134,GARD:0000559
GARD:0015226,GARD:0000559
GARD:0015860,GARD:0000559
GARD:0015862,GARD:0000559
GARD:0015865,GARD:0000559
GARD:0015867,GARD:0000559
