GardID,GardIDStatus,DataSource,SourceID,ClassificationLevel,DisorderType,SourceName,SourceSynonym,SourceDescription,OmimMember,ParentOrphaCode,ParentOrphaName,ParentGardID,RdRequestID,GardLegacy_DiseaseName,GardLegacy_GARDisRare,GardLegacy_isSpanish,GardLegacy_StatusName
GARD:1,Active,Orphanet,ORPHA:53693,Disorder,[Disease],GRACILE syndrome,"[Fellman disease, Growth restriction-aminoaciduria-cholestasis-iron overload-lactic acidosis-early death syndrome]","An inherited lethal mitochondrial disorder characterized by fetal growth restriction (GR), aminoaciduria (A), cholestasis (C), iron overload (I), lactacidosis (L), and early death (E).",[603358],,,,,GRACILE syndrome,TRUE,FALSE,Active
GARD:10000,Active,Orphanet,ORPHA:94124,Disorder,[Disease],Spinocerebellar ataxia with axonal neuropathy type 1,[SCAN1],"Spinocerebellar ataxia with axonal neuropathy type 1 is a rare, genetic neurological disorder characterized by a late childhood onset of slowly progressive cerebellar ataxia. Initial manifestations include weakness and atrophy of distal limb muscles, areflexia and loss of pain, vibration and touch sensations in upper and lower extremities. Gaze nystagmus, cerebellar dysarthria, peripheral neuropathy, stepagge gait and pes cavus develop as disease progresses. Cerebellar atrophy (especially of the vermis) is present in all affected individuals. Additional reported manifestations include seizures, mild brain atrophy, mild hypercholesterolemia and borderline hypoalbuminemia.",[607250],,,,,Spinocerebellar ataxia with axonal neuropathy type 1,TRUE,FALSE,Active
GARD:10001,Active,Orphanet,ORPHA:53689,Disorder,[Disease],Congenital chloride diarrhea,,"A rare genetic intestinal disease characterized by persistent, potentially life-threatening, watery diarrhea with excessive levels of chloride in stools, hypochloremia, hyponatremia, hypokalemia, and metabolic alkalosis, resulting in chronic dehydration and failure to thrive. Antenatal ultrasound typically reveals polyhydramnios and significant dilatation of the fetal intestinal loops.",[214700],,,,,Congenital chloride diarrhea,TRUE,FALSE,Active
GARD:10002,Legacy,GARD,,,,,,,,,,,,BOR-Duane hydrocephalus contiguous gene syndrome,TRUE,FALSE,Active
GARD:10003,Legacy,GARD,,,,,,,,,,,,"Pachygyria, frontotemporal",TRUE,FALSE,Active
GARD:10004,Legacy,GARD,,,,,,,,,,,,"Frontotemporal dementia, ubiquitin-positive",TRUE,FALSE,Active
GARD:10005,Active,Orphanet,ORPHA:871,Disorder,[Disease],Familial progressive cardiac conduction defect,"[Familial Lenègre disease, Familial Lev disease, Familial Lev-Lenègre disease, Familial PCCD, Familial progressive heart block, Hereditary bundle branch defect]","A genetic cardiac rhythm disease that may progress to complete atrioventricular (AV) block. The disease is either asymptomatic or manifests as dyspnea, dizziness, syncope, abdominal pain, heart failure or sudden death.","[604559, 113900, 140400, 115080, 612838]",,,,,Familial progressive cardiac conduction defect,TRUE,FALSE,Active
GARD:10006,Legacy,GARD,,,,,,,,,,,,Brenner tumor of the vagina,TRUE,FALSE,Active
GARD:10007,Active,Orphanet+OMIM,OMIM:300310,Subtype of disorder,[Clinical subtype],Immunodeficiency 61,"[Agammaglobulinemia, x-linked, type 2, xla2]","Immunodeficiency-61 (IMD61) is an X-linked recessive primary immunodeficiency characterized by onset of recurrent infections in early childhood due to impaired antibody production. Affected individuals have normal numbers of circulating B and T cells, but B cells have an intrinsic defect in antibody production (summary by {1:Keller et al., 2018}).\n\nFor a general phenotypic description of X-linked agammaglobulinemia, see {300755}.",[300310],[47],[X-linked agammaglobulinemia],[1033],,Agammaglobulinemia  X-linked type 2,TRUE,FALSE,Active
GARD:10008,Legacy,GARD,,,,,,,,,,,,Colpocephaly,TRUE,FALSE,Active
GARD:10009,Active,Orphanet,ORPHA:1183,Disorder,[Disease],Opsoclonus-myoclonus syndrome,"[Ataxo-opso-myoclonus syndrome, Dancing eye syndrome, Dancing eye-dancing feet syndrome, Kinsbourne syndrome, OMA syndrome, OMS, Opsoclonus-myoclonus-ataxia syndrome, POMA syndrome, Paraneoplastic opsoclonus-myoclonus, Paraneoplastic opsoclonus-myoclonus-ataxia syndrome]","Opsoclonus myoclonus syndrome (OMS) is a rare neuroinflammatory disease of paraneoplastic, parainfectious or idiopathic origin, characterized by opsoclonus, myoclonus, ataxia, and behavioral and sleep disorders.",,,,,,Opsoclonus-myoclonus syndrome,TRUE,FALSE,Active
GARD:1001,Legacy,GARD,,,,,,,,,,,,Branchial arch defects,TRUE,FALSE,Active
GARD:10010,Active,Orphanet,ORPHA:79411,Disorder,[Disease],Self-improving dystrophic epidermolysis bullosa,"[Self-improving DEB, Transient bullous dermolysis of the newborn]",A rare dystrophic epidermolysis bullosa (DEB) characterized by generalized blistering at birth that usually regresses within the first 6 to 24 months of life.,[131705],,,,,Transient bullous dermolysis of the newborn,TRUE,FALSE,Active
GARD:10011,Active,Orphanet,ORPHA:83617,Disorder,[Malformation syndrome],Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,,"A rare syndromic agammaglobulinemia characterized by profound B-cell depletion (with normal T-cell numbers) resulting in agammaglobulinemia, associated with severe developmental delay, microcephaly, craniosynostosis, cleft palate, narrowing of the choanae, blepharophimosis, and severe dermatitis. Additional reported features include distal joint contractures, renal/genitourinary anomalies, and mild cerebral atrophy, among others.",[610483],,,,,"Agammaglobulinemia, microcephaly, and severe dermatitis",TRUE,FALSE,Active
GARD:10012,Active,Orphanet,ORPHA:85164,Disorder,[Disease],Camptodactyly-tall stature-scoliosis-hearing loss syndrome,"[CATSHL syndrome, Camptodactyly-tall stature-scoliosis-deafness syndrome]","Camptodactyly-tall stature-scoliosis-hearing loss syndrome is characterised by camptodactyly, tall stature, scoliosis, and hearing loss (CATSHL). It has been described in around 30 individuals from seven generations of the same family. The syndrome is caused by a missense mutation in the FGFR3 gene, leading to a partial loss of function of the encoded protein, which is a negative regulator of bone growth.",[610474],,,,,"Camptodactyly, tall stature, and hearing loss syndrome",TRUE,FALSE,Active
GARD:10013,Legacy,GARD,,,,,,,,,,,,Red cell phospholipid defect with hemolysis,TRUE,FALSE,Active
GARD:10014,Active,Orphanet,ORPHA:97352,Disorder,[Disease],Pellagra,,"Pellagra is a nutritional disorder caused by a deficiency in niacin (vitamin B3) or its precursor (tryptophan) that is mainly observed in Asia and Africa where it is generally due to poor nutrition. It is characterized by dermatitis (symmetrical photodistributed erythema that may be accompanied by vesicles and bullae, and that develops into hyperkeratotic and hyperpigmented skin), gastrointestinal symptoms (diarrhea), and neuropsychiatric disorders (dementia). It can be life-threatening without a correct management.",,,,,,Pellagra,TRUE,FALSE,Active
GARD:10016,Legacy,GARD,,,,,,,,,,,,Priapism,TRUE,FALSE,Active
