org_name,num_clinical,num_papers,num_patent,total_cost1,Totla_pub,per_$
UNIVERSITY HOSPITALS OF CLEVELAND,13,822,0,0,835,83.5
VETERANS HEALTH ADMINISTRATION,1,260,0,0,261,26.1
RLR VA MEDICAL CENTER,0,221,0,0,221,22.1
UNIVERSITY OF KWAZULUNATAL,0,206,0,0,206,20.6
JESSE BROWN VA MEDICAL CENTER,0,192,0,0,192,19.2
BIRMINGHAM VA MEDICAL CENTER,0,179,0,0,179,17.9
VA BOSTON HEALTH CARE SYSTEM,0,154,2,0,156,15.6
UNIV OF WITWATERSTRAND,5,141,0,0,146,14.6
VA EASTERN COLORADO HEALTH CARE SYSTEM,0,131,0,0,131,13.1
IOWA CITY VA MEDICAL CENTER,0,123,0,0,123,12.3
INSTITUTE FOR CANCER PREVENTION,0,116,0,0,116,11.6
VETERANS AFFAIRS MED CTR SAN FRANCISCO,0,101,0,0,101,10.1
RALPH H JOHNSON VA MEDICAL CENTER,1,99,0,0,100,10
JAMES J PETERS VA  MEDICAL CENTER,4,89,0,0,93,9.3
CINCINNATI VA MEDICAL CENTER RESEARCH,0,87,0,0,87,8.7
PHILADELPHIA VA MEDICAL CENTER,0,85,0,0,85,8.5
LOUIS STOKES CLEVELAND VA MEDICAL CENTER,1,77,0,0,78,7.8
VETERANS ADMIN PALO ALTO HEALTH CARE SYS,1,74,0,0,75,7.5
SOUTH TEXAS VETERANS HEALTH CARE SYSTEM,0,71,0,0,71,7.1
MICHAEL E DEBAKEY VA MEDICAL CENTER,0,71,0,0,71,7.1
PORTLAND VA MEDICAL CENTER,0,62,0,0,62,6.2
VA SAN DIEGO HEALTHCARE SYSTEM,0,62,0,0,62,6.2
FLORIDA AGRICULTURAL AND MECHANICAL UNIV,0,55,5,0,60,6
BALTIMORE VA MEDICAL CENTER,0,51,0,0,51,5.1
VA PUGET SOUND HEALTHCARE SYSTEM,0,48,0,0,48,4.8
SOUTHEAST LOUISIANA VETERANS HEALTH CARE,0,47,0,0,47,4.7
VA GREATER LOS ANGELES HEALTHCARE SYSTEM,0,45,0,0,45,4.5
JOHN D DINGELL VA MEDICAL CENTER,1,43,0,0,44,4.4
VA SALT LAKE CITY HEALTHCARE SYSTEM,0,44,0,0,44,4.4
MIAMI VA HEALTH CARE SYSTEM,0,42,0,0,42,4.2
OLIN TEAGUE VETERANS CENTER,0,39,0,0,39,3.9
NORTHPORT VA MEDICAL CENTER,0,34,0,0,34,3.4
VA GREATER LOS ANGELS HEALTHCARE SYSTEM,0,32,0,0,32,3.2
VA CONNECTICUT HEALTHCARE SYSTEM,0,32,0,0,32,3.2
VA VETERANS ADMINISTRATION HOSPITAL,1,27,0,0,28,2.8
DURHAM VA MEDICAL CENTER,0,28,0,0,28,2.8
SOUTHERN ARIZONA VA HEALTH CARE SYSTEM,0,28,0,0,28,2.8
ALBUQUERQUE VA MEDICAL CENTER,0,28,0,0,28,2.8
TUSKEGEE UNIVERSITY,0,25,0,0,25,2.5
MEMPHIS VA MEDICAL CENTER,0,16,0,0,16,1.6
PROVIDENCE VA  MEDICAL CENTER,0,16,0,0,16,1.6
CLEMENT J ZABLOCKI VA MEDICAL CENTER,0,15,0,0,15,1.5
OKLAHOMA CITY VA MEDICAL CENTER,0,15,0,0,15,1.5
CENTRAL ARKANSAS VETERANS HLTHCARE SYS,0,14,0,0,14,1.4
JAMES A HALEY VA MEDICAL CENTER,1,13,0,0,14,1.4
OMAHA VA  MEDICAL CENTER,0,13,0,0,13,1.3
VA MEDICAL CENTER  LEXINGTON KY,0,13,0,0,13,1.3
VA NORTH TEXAS HEALTH CARE SYSTEM,0,11,0,0,11,1.1
ILLINOIS CANCER CENTER,0,10,0,0,10,1
BECKMAN RES INST OF THE CITY OF HOPE,0,10,0,0,10,1
US NATIONAL INSTCHILD HLTHHUMAN DEV,0,8,0,0,8,0.8
ST LOUIS VA MEDICAL CENTER,0,7,0,0,7,0.7
CHARLIE NORWOOD VA MEDICAL CENTER,0,4,0,0,4,0.4
MALLORY INSTITUTE OF PATHOLOGY,0,3,0,0,3,0.3
W G HEFNER VA MEDICAL CENTER,0,3,0,0,3,0.3
SALEM VA MEDICAL CENTER,0,3,0,0,3,0.3
US NATIONAL INST DIABETESDIGSTKIDNEY,0,2,0,0,2,0.2
MEDSTAR RESEARCH INSTITUTE,0,2,0,0,2,0.2
MEDICAL RESEARCH INSTITUTE OF SAN FRAN,0,2,0,0,2,0.2
NATIONAL HUMAN GENOME RESEARCH INST,0,2,0,0,2,0.2
VA NORTHERN CALIFORNIA HEALTH CARE SYS,0,1,0,0,1,0.1
REGIONAL MHMR COMMISSION OF REGION VII,0,1,0,0,1,0.1
INTER AMERICAN UNIVERSITYPUERTO RICO,0,1,0,0,1,0.1
UNIVERSITY OF THE DISTRICT OF COLUMBIA,0,1,0,0,1,0.1
SYRACUSE VA  MEDICAL CENTER,1,0,0,0,1,0.1
LOUISVILLE VA MEDICAL MEDICAL CENTER,0,1,0,0,1,0.1
EDITH NOURSE  ROGERS MEMORIAL VETERANS HOSPITAL,0,1,0,0,1,0.1
PARKINSONS INSTITUTE,0,1,0,0,1,0.1
