Omics_type,Sequencing_type,Sequencing_library,Omics_type_norm,Assay_type_norm,Sequencing_library_norm,Annotation
['Epigenomics'],ATAC-seq,genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],ATAC-seq,polyA RNA,Epigenomics,ATAC-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],Bisulfite-Seq,genomic DNA,Epigenomics,Bisulfite-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],Bisulfite-Seq,total RNA,Epigenomics,Bisulfite-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],ChIA-PET,genomic DNA,Epigenomics,ChIA-PET,,"indicated by ""epigenoimcs"""
['Epigenomics'],ChIP-Seq,genomic DNA,Epigenomics,ChIP-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],DNase-Hypersensitivity,genomic DNA,Epigenomics,DNase-Hypersensitivity,,"indicated by ""epigenoimcs"""
['Epigenomics'],FAIRE-seq,genomic DNA,Epigenomics,FAIRE-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],Hi-C,genomic DNA,Epigenomics,Hi-C assay,,"indicated by ""epigenoimcs""and hi-c"
['Epigenomics'],MBD-Seq,genomic DNA,Epigenomics,MBD-Seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],MBD-Seq,other,Epigenomics,MBD-Seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],MNase-Seq,genomic DNA,Epigenomics,MNase-Seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],MeDIP-Seq,genomic DNA,Epigenomics,MeDIP-Seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],OTHER,"['genomic DNA', 'other']",Epigenomics,Other,,"indicated by ""epigenoimcs"""
['Epigenomics'],OTHER,genomic DNA,Epigenomics,Other,,"indicated by ""epigenoimcs"""
['Epigenomics'],OTHER,polyA RNA,Epigenomics,Other,,"indicated by ""epigenoimcs"""
['Epigenomics'],RNA-Seq,genomic DNA,Epigenomics,RNA-Seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],RNA-Seq,polyA RNA,Epigenomics,RNA-Seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],RNA-Seq,total RNA,Epigenomics,RNA-Seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],"['', 'Bisulfite-Seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,Bisulfite-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],"['ATAC-seq', 'ChIP-Seq']",genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],"['Bisulfite-Seq', 'ChIP-Seq', 'MeDIP-Seq']",genomic DNA,Epigenomics,Bisulfite-seq,,"indicated by ""epigenoimcs"""
['Epigenomics'],"['Bisulfite-Seq', 'ChIP-Seq', 'OTHER']",genomic DNA,Epigenomics,Bisulfite-seq,,"indicated by ""epigenoimcs"""
