name,count
tissue,157196
cell type,97260
age,73415
treatment,71874
gender,53178
Sex,47903
genotype,46776
strain,41490
cell line,40278
disease state,31657
time,17068
disease,14111
time point,12459
group,11700
diagnosis,11647
condition,10956
ethnicity,10118
sample type,10037
batch,9770
timepoint,9424
patient id,8310
infection,8270
individual,8008
race,7888
genotype/variation,6816
subject id,6726
replicate,5824
donor,5515
subject,5499
chip antibody,5153
developmental stage,5106
disease status,4806
antibody,4446
Stage,4189
patient,4121
day,3722
clinical info,3680
visit,3653
histology,3618
agent,3539
vaccine,3535
plate,3492
tissue type,3471
subject status,3306
protocol,3271
bmi,3259
tumor type,3082
cohort,3031
region,2915
age in years,2898
molecule subtype,2882
housing condition,2815
sample id,2694
subjectid,2672
site,2620
smoking status,2577
sample,2422
segment,2380
stimulation,2378
strain background,2334
location,2284
organismpart,2192
pasi,2192
diseasestate,2186
sample group,2179
clinical diagnosis,2111
organism part,2102
celltype,2035
phenotype,1959
pathologic status,1940
histologic diagnosis,1936
tissue anatomic site,1936
grade,1888
type,1856
mouse id,1755
donor id,1737
experiment,1725
hiv status,1705
slide no,1700
psa-psoriatic arthritis,1700
cell description,1693
reference,1682
source,1670
participant id,1666
Age,1662
cell sex,1656
controlid,1655
molecule type,1618
datatype description,1606
datatype,1603
tumor grade,1602
sex,1601
library type,1600
tst,1588
passage,1586
cell,1531
tcga subtype,1529
molecule,1522
dataset,1520
mgmt status,1518
collection_method,1517
cell organism,1508
well,1500
Tissue,1499
segment type,1492
dose,1480
roi,1459
strain/background,1449
deduplicatedreads,1447
trimmedreads,1447
sequencingsaturation,1447
alignedreads,1447
rawreads,1447
stitchedreads,1447
roi x coordinate,1444
roi y coordinate,1444
virus,1436
surgical status,1417
phillips subtype,1417
infection status,1402
tumor location,1401
date,1400
tumor stage,1390
infection states,1389
biological replicate,1375
kps,1369
hb,1364
donor_id,1361
outcome,1324
tag,1317
rin,1300
biomaterial_type,1293
mouse strain,1292
culture,1264
animal,1261
antibody vendorid,1258
antibody vendorname,1245
patientid,1239
mmse,1234
batch id,1213
tissue source,1209
individual id,1208
assay,1202
antibody targetdescription,1200
clinical status,1187
geographical region,1182
labversion,1180
roi number,1177
Gender,1172
protection,1172
lab,1170
barcode,1156
patient_id,1152
disease group,1144
corticosteroids,1140
antibody antibodydescription,1138
passages,1138
class,1132
labexpid,1110
treatment description,1095
temperature,1094
tissue/cell type,1069
final diagnosis,1067
isolate,1067
status,1055
area,1053
material,1047
library prep,1030
animal id,1019
primary site,1010
fraction,1003
cell subtype,1002
patient diagnosis,1001
enrollment batch,1000
covid-19 status,1000
enrollment date t0,1000
bc run_id,1000
pipeline version,1000
censored,1000
biocollection id,1000
provider,1000
parity,998
lab description,997
background strain,997
subtype,994
cdna synthesis,993
treatmentshort,992
pasi.baseline,992
platesimple,992
pasi75.response,992
pasi.week4,992
pasi.week12,992
biomaterial_provider,987
patient gender,977
extraction_protocol,970
experiment_type,970
moi,969
medium,949
tuberculin skin test,938
drug treatment,934
albumin,923
treated with,920
m. tuberculosis culture,911
country of serum collection,911
bcg scar or history,911
acid fast bacilli (afb) smear microscopy,911
previous history of active tb,911
organ failure,910
infected with,898
development stage,897
culture result,894
hematocrit,883
tb status,881
survival_yr,876
site_onset,876
age_onset,876
cell_type,875
clone,871
hemoglobin,865
model,861
bin,855
qft,854
cell line id,847
idh status,842
sampleID,841
metastasis,840
age description,839
extraction_protocol_sonication_cycles,838
extraction_protocol_type_of_sonicator,838
cancer status,837
donor_ethnicity,835
donor_health_status,835
donor_age,835
donor_sex,835
mouse model,822
birth_place,813
severity score,811
method,810
cell subset,806
chip_protocol,804
geographic location,804
chip_protocol_chromatin_amount,804
adjusted household density,804
infant's sex,804
disease stage,804
delivery,804
agricultural animals,804
companion animals,804
mother's age,804
bmi code,804
time post-partum,804
softwareversion,795
treatment group,792
rpa,791
hours post infection,779
wbc,779
tissue preparation,779
treatment time,775
disease severity,774
morphology,764
control,757
fev1 % predicted,753
neutrophils,749
stress,744
tissue of origin,744
participant,742
study,741
infection protocol,740
stimulus,736
control description,731
background,730
patient viral load,726
case number,726
cell karyotype,726
histology subtype1,722
patient group,721
cell lineage,713
idh1 status,709
chip_antibody_catalog,708
sample source,708
chip_antibody_provider,708
sample alias,707
sample common name,707
os,703
chip_antibody_lot,696
sequencing_batch,685
genetic background,683
chip_protocol_bead_type,680
chip_antibody,680
chip_protocol_antibody_amount,680
chip_protocol_bead_amount,680
first_diagnosis,678
working_diagnosis,678
