label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
genotype,46776,host genotype,0.7619047619047619,Biospecimen Organism,True,True,False
batch,9770,batch id,0.7692307692307693,External_sample_id,True,True,False
genotype/variation,6816,mouse genotype/variation,0.8571428571428571,Biospecimen Organism,True,True,True
replicate,5824,replicate id,0.8571428571428571,External_sample_id,True,True,True
antibody,4446,antibody group,0.7272727272727273,Treatment,True,False,False
clinical info,3680,clinical diagnosis,0.7741935483870968,Biospecimen Disease Condition,True,True,False
visit,3653,visit day,0.7142857142857143,Biospecimen Age,True,False,False
histology,3618,histopathology,0.782608695652174,Biospecimen Disease Condition,True,True,False
plate,3492,plate id,0.7692307692307693,External_sample_id,True,True,False
region,2915,regimen,0.7692307692307693,Treatment Dosage Regimen,True,True,False
molecule subtype,2882,cell subtype,0.7142857142857143,Biospecimen Type,True,False,False
site,2620,side,0.75,External_sample_id,True,True,False
segment,2380,reagent,0.7142857142857143,Biospecimen Age,True,False,False
stimulation,2378,cell stimulation,0.8148148148148148,Biospecimen Type,True,True,True
location,2284,location/side,0.7619047619047619,External_sample_id,True,True,False
phenotype,1959,cell phenotype,0.782608695652174,Biospecimen Type,True,True,False
experiment,1725,experimental day,0.7692307692307693,Biospecimen Age,True,True,False
reference,1682,sample_reference,0.72,External_sample_id,True,False,False
source,1670,source id,0.8,External_sample_id,True,True,True
datatype description,1606,age description,0.8,Biospecimen Age,True,True,True
library type,1600,library id,0.7272727272727273,External_sample_id,True,False,False
collection_method,1517,collection time,0.75,Biospecimen Age,True,True,False
well,1500,cell,0.75,Biospecimen Type,True,True,False
segment type,1492,treatment type,0.7692307692307693,Treatment,True,True,False
surgical status,1417,surgical treatment,0.7272727272727273,Treatment,True,False,False
biological replicate,1375,biological sex,0.7058823529411765,Biospecimen Sex,True,False,False
tag,1317,stage,0.75,Biospecimen Age,True,True,False
culture,1264,culture age,0.7777777777777778,Biospecimen Age,True,True,False
animal,1261,animal id,0.8,External_sample_id,True,True,True
clinical status,1187,clinical stage,0.8275862068965517,Biospecimen Age,True,True,True
roi number,1177,mouse number,0.7272727272727273,Biospecimen Organism,True,False,False
protection,1172,cell projection,0.72,Biospecimen Type,True,False,False
status,1055,cell status,0.7058823529411765,Biospecimen Type,True,False,False
material,1047,maternalage,0.7368421052631579,Biospecimen Age,True,False,False
library prep,1030,library barcode,0.7407407407407407,External_sample_id,True,False,False
primary site,1010,primary tumor site,0.8,Biospecimen Disease Condition,True,True,True
fraction,1003,age fraction,0.8,Biospecimen Age,True,True,True
lab description,997,age description,0.8666666666666667,Biospecimen Age,True,True,True
subtype,994,cell subtype,0.7368421052631579,Biospecimen Type,True,False,False
platesimple,992,patient sample,0.72,External_sample_id,True,False,False
experiment_type,970,experimental day,0.7096774193548387,Biospecimen Age,True,False,False
infected with,898,infected host,0.7692307692307693,Biospecimen Organism,True,True,False
culture result,894,culture age,0.72,Biospecimen Age,True,False,False
survival_yr,876,survival year,0.8333333333333334,Biospecimen Age,True,True,True
site_onset,876,age_onset,0.7368421052631579,Biospecimen Age,True,False,False
clone,871,clone id,0.7692307692307693,External_sample_id,True,True,False
morphology,764,cell morphology,0.8,Biospecimen Type,True,True,True
study,741,studyid,0.8333333333333334,External_sample_id,True,True,True
background,730,strain background,0.7407407407407407,Biospecimen Organism,True,False,False
case number,726,cell number,0.8181818181818182,Biospecimen Type,True,True,True
chip_antibody_lot,696,chip_antibody_provider,0.7692307692307693,External_sample_id,True,True,False
genetic background,683,cell line background,0.7368421052631579,Biospecimen Type,True,False,False
chip_antibody,680,chip_antibody_provider,0.7428571428571429,External_sample_id,True,False,False
response,667,drug response,0.7619047619047619,Treatment,True,True,False
os_status,656,mouse status,0.7619047619047619,Biospecimen Organism,True,True,False
