review_id,score_band,eligible_cutoffs,label,count,best_reference_label,best_similarity_score,assigned_category,manual_correct,manual_notes
1,0.70_to_lt_0.75,0.70,microglia population,8,cell population,0.7428571428571429,Biospecimen Type,1,
2,0.70_to_lt_0.75,0.70,transplanted with,2,transplanted organ,0.7428571428571429,Biospecimen Type,1,
3,0.70_to_lt_0.75,0.70,library name,476,library barcode,0.7407407407407407,External_sample_id,1,
4,0.70_to_lt_0.75,0.70,symptomatic,178,symptom duration,0.7407407407407407,Treatment Dosage Regimen,0,
5,0.70_to_lt_0.75,0.70,antibody used,11,antibody group,0.7407407407407407,Treatment,1,
6,0.70_to_lt_0.75,0.70,visit_date,313,visit day,0.7368421052631579,Biospecimen Age,1,
7,0.70_to_lt_0.75,0.70,route administered,52,vaccine administered,0.7368421052631579,Treatment,0,
8,0.70_to_lt_0.75,0.70,model type,12,cell type,0.7368421052631579,Biospecimen Type,1,
9,0.70_to_lt_0.75,0.70,knockout,203,knockout group,0.7272727272727273,Treatment,0,
10,0.70_to_lt_0.75,0.70,pain,101,patient,0.7272727272727273,External_sample_id,0,
11,0.70_to_lt_0.75,0.70,surgery type,76,serum type,0.7272727272727273,Biospecimen Type,0,
12,0.70_to_lt_0.75,0.70,infiltration,64,induration,0.7272727272727273,Treatment Dosage Regimen,0,
13,0.70_to_lt_0.75,0.70,genotype abbreviation,14,mouse line abbreviation,0.7272727272727273,Biospecimen Organism,1,
14,0.70_to_lt_0.75,0.70,scale,12,sample,0.7272727272727273,External_sample_id,0,
15,0.70_to_lt_0.75,0.70,Extraction_amount,6,extraction_protocol,0.7222222222222222,Treatment Dosage Regimen,0,
16,0.70_to_lt_0.75,0.70,culture result,894,culture age,0.72,Biospecimen Age,0,
17,0.70_to_lt_0.75,0.70,recipient,534,recipient strain,0.72,Biospecimen Organism,1,
18,0.70_to_lt_0.75,0.70,parasitemia,419,parasite stage,0.72,Biospecimen Age,0,
19,0.70_to_lt_0.75,0.70,library quality,208,library id,0.72,External_sample_id,0,
20,0.70_to_lt_0.75,0.70,infectivity,120,infection type,0.72,Biospecimen Disease Condition,1,
21,0.70_to_lt_0.75,0.70,graft source,47,gender source,0.72,Biospecimen Sex,0,
22,0.70_to_lt_0.75,0.70,paired with,37,paired patient,0.72,External_sample_id,1,
23,0.70_to_lt_0.75,0.70,sort fraction,27,age fraction,0.72,Biospecimen Age,0,
24,0.70_to_lt_0.75,0.70,oxygen status,4,mouse status,0.72,Biospecimen Organism,0,
25,0.70_to_lt_0.75,0.70,clinical presentation,61,clinical condition,0.717948717948718,Biospecimen Disease Condition,1,
26,0.70_to_lt_0.75,0.70,visit,3653,visit day,0.7142857142857143,Biospecimen Age,1,
27,0.70_to_lt_0.75,0.70,malaria_status,500,malaria strain,0.7142857142857143,Biospecimen Organism,0,
28,0.70_to_lt_0.75,0.70,library plate,412,library barcode,0.7142857142857143,External_sample_id,1,
29,0.70_to_lt_0.75,0.70,survival status,152,survival time,0.7142857142857143,Biospecimen Age,0,
30,0.70_to_lt_0.75,0.70,library_batch,64,library barcode,0.7142857142857143,External_sample_id,1,
31,0.70_to_lt_0.75,0.70,culture platform,57,culture time,0.7142857142857143,Biospecimen Age,0,
32,0.70_to_lt_0.75,0.70,commercial source,56,cell source,0.7142857142857143,Biospecimen Type,0,
33,0.70_to_lt_0.75,0.70,molecule source,23,sample source,0.7142857142857143,External_sample_id,0,
34,0.70_to_lt_0.75,0.70,antibody target description,21,age description,0.7142857142857143,Biospecimen Age,0,
35,0.70_to_lt_0.75,0.70,genotype_abbreviation,500,mouse genotype/variation,0.7111111111111111,Biospecimen Organism,1,
36,0.70_to_lt_0.75,0.70,surface area,363,cell surface marker,0.7096774193548387,Biospecimen Type,0,
37,0.70_to_lt_0.75,0.70,pregnancy status,201,organoid status,0.7096774193548387,External_sample_id,0,
38,0.70_to_lt_0.75,0.70,anatomic location,201,tumor location,0.7096774193548387,Biospecimen Disease Condition,0,
39,0.70_to_lt_0.75,0.70,isolation method,52,isolation stage,0.7096774193548387,Biospecimen Age,0,
40,0.70_to_lt_0.75,0.70,lymphs,460,lymphocytes,0.7058823529411765,Biospecimen Type,1,
41,0.70_to_lt_0.75,0.70,modifications,57,chemical modification,0.7058823529411765,Treatment,1,
42,0.70_to_lt_0.75,0.70,digestives_symptoms,45,disease symptom,0.7058823529411765,Biospecimen Disease Condition,1,
43,0.70_to_lt_0.75,0.70,implantation,24,cell type implantation,0.7058823529411765,Biospecimen Type,0,
44,0.70_to_lt_0.75,0.70,Labeling_reference,6,sample_reference,0.7058823529411765,External_sample_id,1,
45,0.70_to_lt_0.75,0.70,reactivity,3,acidity,0.7058823529411765,External_sample_id,0,
46,0.70_to_lt_0.75,0.70,incubation temperature,8,incubation time,0.7027027027027027,Biospecimen Age,0,
47,0.70_to_lt_0.75,0.70,virus type,86,serum type,0.7,Biospecimen Type,0,
48,0.70_to_lt_0.75,0.70,subclass,80,tissue class,0.7,Biospecimen Type,1,
49,0.70_to_lt_0.75,0.70,lymph node,51,lymphocyte,0.7,Biospecimen Type,1,
50,0.70_to_lt_0.75,0.70,who class,40,tumor class,0.7,Biospecimen Disease Condition,1,
51,0.75_to_lt_0.80,0.70;0.75,anatomic site,10,tissue anatomic site,0.7878787878787878,Biospecimen Type,1,
52,0.75_to_lt_0.80,0.70;0.75,viral inactivation,10,viral infection,0.7878787878787878,Biospecimen Disease Condition,0,
53,0.75_to_lt_0.80,0.70;0.75,development,310,development stage,0.7857142857142857,Biospecimen Age,1,
54,0.75_to_lt_0.80,0.70;0.75,parasite line,95,parasite strain,0.7857142857142857,Biospecimen Organism,1,
55,0.75_to_lt_0.80,0.70;0.75,differentiation replicate,9,differentiation time point,0.7843137254901961,Biospecimen Age,0,
56,0.75_to_lt_0.80,0.70;0.75,histology,3618,histopathology,0.782608695652174,Biospecimen Disease Condition,1,
57,0.75_to_lt_0.80,0.70;0.75,Phenotype,141,cell phenotype,0.782608695652174,Biospecimen Type,1,
58,0.75_to_lt_0.80,0.70;0.75,line type,123,cell line type,0.782608695652174,Biospecimen Type,1,
59,0.75_to_lt_0.80,0.70;0.75,growth media,106,growth time,0.782608695652174,Biospecimen Age,0,
60,0.75_to_lt_0.80,0.70;0.75,hippocampal sclerosis,6,hippocampal slice id,0.7804878048780488,External_sample_id,0,
61,0.75_to_lt_0.80,0.70;0.75,sorted compartment,500,tissue compartment,0.7777777777777778,Biospecimen Type,1,
62,0.75_to_lt_0.80,0.70;0.75,infectious challenge,82,infectious agent,0.7777777777777778,Biospecimen Age,0,
63,0.75_to_lt_0.80,0.70;0.75,experiment type,295,experimental day,0.7741935483870968,Biospecimen Age,0,
64,0.75_to_lt_0.80,0.70;0.75,study number,50,study sample number,0.7741935483870968,External_sample_id,1,
65,0.75_to_lt_0.80,0.70;0.75,dementia status,16,treatment status,0.7741935483870968,Treatment,0,
66,0.75_to_lt_0.80,0.70;0.75,antibody name,9,antibody treatment,0.7741935483870968,Treatment,1,
67,0.75_to_lt_0.80,0.70;0.75,experiment,1725,experimental day,0.7692307692307693,Biospecimen Age,0,
68,0.75_to_lt_0.80,0.70;0.75,simulation,80,cell stimulation,0.7692307692307693,Biospecimen Type,0,
69,0.75_to_lt_0.80,0.70;0.75,series,27,species,0.7692307692307693,Biospecimen Organism,0,
70,0.75_to_lt_0.80,0.70;0.75,replicate type,22,replicate id,0.7692307692307693,External_sample_id,0,
71,0.75_to_lt_0.80,0.70;0.75,type of insertion,12,site of infection,0.7647058823529411,Biospecimen Disease Condition,0,
72,0.75_to_lt_0.80,0.70;0.75,number of animals,10,number of_samples,0.7647058823529411,External_sample_id,0,
73,0.75_to_lt_0.80,0.70;0.75,associated geo,4,associate geo_sample,0.7647058823529411,External_sample_id,1,
74,0.75_to_lt_0.80,0.70;0.75,response,667,drug response,0.7619047619047619,Treatment,1,
75,0.75_to_lt_0.80,0.70;0.75,os_status,656,mouse status,0.7619047619047619,Biospecimen Organism,0,
76,0.75_to_lt_0.80,0.70;0.75,infected,101,time infected,0.7619047619047619,Biospecimen Age,0,
77,0.75_to_lt_0.80,0.70;0.75,Genotype,52,host genotype,0.7619047619047619,Biospecimen Organism,1,
