,SID,Source Name,Registry Identifier,CID
0,53786740,Comparative Toxicogenomics Database (CTD),C094210,135402056
1,53786741,Comparative Toxicogenomics Database (CTD),D017308,3308
2,53786742,Comparative Toxicogenomics Database (CTD),C018021,3032536
3,53786743,Comparative Toxicogenomics Database (CTD),C444919,4470790
4,53786744,Comparative Toxicogenomics Database (CTD),D005985,751
5,53786745,Comparative Toxicogenomics Database (CTD),C023808,6324616
6,53786746,Comparative Toxicogenomics Database (CTD),D017255,5284513
7,53786747,Comparative Toxicogenomics Database (CTD),C053079,3034761
8,53786748,Comparative Toxicogenomics Database (CTD),C517629,53308705
9,53786749,Comparative Toxicogenomics Database (CTD),C023386,
10,53786750,Comparative Toxicogenomics Database (CTD),C035196,25154
11,53786751,Comparative Toxicogenomics Database (CTD),C047983,107948
12,53786752,Comparative Toxicogenomics Database (CTD),C047777,6681
13,53786753,Comparative Toxicogenomics Database (CTD),C018562,
14,53786754,Comparative Toxicogenomics Database (CTD),C011132,66359
15,53786755,Comparative Toxicogenomics Database (CTD),C064599,5364752
16,53786756,Comparative Toxicogenomics Database (CTD),C011088,4931
17,53786757,Comparative Toxicogenomics Database (CTD),C040313,6913994
18,53786758,Comparative Toxicogenomics Database (CTD),C082661,119194
19,53786759,Comparative Toxicogenomics Database (CTD),C029310,
20,53786760,Comparative Toxicogenomics Database (CTD),C093875,23663996
21,53786761,Comparative Toxicogenomics Database (CTD),C081194,11926
22,53786762,Comparative Toxicogenomics Database (CTD),C058305,16741
23,53786763,Comparative Toxicogenomics Database (CTD),C093373,151172
24,53786764,Comparative Toxicogenomics Database (CTD),C058121,5311201
25,53786765,Comparative Toxicogenomics Database (CTD),D003606,135398738
26,53786766,Comparative Toxicogenomics Database (CTD),C027947,3024
27,53786767,Comparative Toxicogenomics Database (CTD),C005969,7570
28,53786768,Comparative Toxicogenomics Database (CTD),C057532,108097
29,53786769,Comparative Toxicogenomics Database (CTD),C437683,158385
30,53786770,Comparative Toxicogenomics Database (CTD),C016658,99950
31,53786771,Comparative Toxicogenomics Database (CTD),C075773,5258
32,53786772,Comparative Toxicogenomics Database (CTD),C075750,5282263
33,53786773,Comparative Toxicogenomics Database (CTD),C503394,9934458
34,53786774,Comparative Toxicogenomics Database (CTD),C006780,6623
35,53786775,Comparative Toxicogenomics Database (CTD),C006452,65036
36,53786776,Comparative Toxicogenomics Database (CTD),D017258,6279
37,53786777,Comparative Toxicogenomics Database (CTD),D017612,
38,53786778,Comparative Toxicogenomics Database (CTD),C082134,60943
39,53786779,Comparative Toxicogenomics Database (CTD),C011566,7904
40,53786780,Comparative Toxicogenomics Database (CTD),C035514,134154
41,53786781,Comparative Toxicogenomics Database (CTD),C035976,17097
42,53786782,Comparative Toxicogenomics Database (CTD),C082871,119376
43,53786783,Comparative Toxicogenomics Database (CTD),C041150,33699
44,53786784,Comparative Toxicogenomics Database (CTD),D010095,4630
45,53786785,Comparative Toxicogenomics Database (CTD),C035054,441923
46,53786786,Comparative Toxicogenomics Database (CTD),D004041,
47,53786787,Comparative Toxicogenomics Database (CTD),C505748,59263691
48,53786788,Comparative Toxicogenomics Database (CTD),C064808,38284
49,53786789,Comparative Toxicogenomics Database (CTD),C467567,216326
50,53786790,Comparative Toxicogenomics Database (CTD),C075765,56841997
51,53786791,Comparative Toxicogenomics Database (CTD),D020126,5287620
52,53786792,Comparative Toxicogenomics Database (CTD),C064976,4578
53,53786793,Comparative Toxicogenomics Database (CTD),C063261,
54,53786794,Comparative Toxicogenomics Database (CTD),C016304,6594
55,53786795,Comparative Toxicogenomics Database (CTD),C050159,129080
56,53786796,Comparative Toxicogenomics Database (CTD),C477819,5311211
57,53786797,Comparative Toxicogenomics Database (CTD),C402769,159324
58,53786798,Comparative Toxicogenomics Database (CTD),D010118,54675779
