"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Butyrylcholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.106542925976","119 /  0     "
"Vasopressin V2 receptor   (by homology)","AVPR2","P30518","CHEMBL1790","Family A G protein-coupled receptor","0.106542925976","93 /  0     "
"Vasopressin V1a receptor   (by homology)","AVPR1A","P37288","CHEMBL1889","Family A G protein-coupled receptor","0.106542925976","132 /  0     "
"Nuclear receptor subfamily 1 group I member 3","NR1I3","Q14994","CHEMBL5503","Nuclear receptor","0.106542925976","15 /  0     "
"Serine/threonine-protein kinase WEE1","WEE1","P30291","CHEMBL5491","Kinase","0.106542925976","27 /  0     "
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","0.106542925976","246 /  0     "
"Fibroblast growth factor receptor 1","FGFR1","P11362","CHEMBL3650","Kinase","0.106542925976","159 /  0     "
"Squalene synthetase   (by homology)","FDFT1","P37268","CHEMBL3338","Enzyme","0.106542925976","22 /  0     "
"Egl nine homolog 1","EGLN1","Q9GZT9","CHEMBL5697","Oxidoreductase","0.106542925976","37 /  0     "
"Serine/threonine-protein kinase PIM1","PIM1","P11309","CHEMBL2147","Kinase","0.106542925976","355 /  0     "
"Serine/threonine-protein kinase PIM2","PIM2","Q9P1W9","CHEMBL4523","Kinase","0.106542925976","240 /  0     "
"Serine/threonine-protein kinase PIM3","PIM3","Q86V86","CHEMBL5407","Kinase","0.106542925976","188 /  0     "
"Cholecystokinin B receptor","CCKBR","P32239","CHEMBL298","Family A G protein-coupled receptor","0.106542925976","42 /  0     "
"Serotonin 1f (5-HT1f) receptor","HTR1F","P30939","CHEMBL1805","Family A G protein-coupled receptor","0.106542925976","46 /  0     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.106542925976","58 /  0     "
"Vanilloid receptor   (by homology)","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.106542925976","30 /  0     "
"Gonadotropin-releasing hormone receptor","GNRHR","P30968","CHEMBL1855","Family A G protein-coupled receptor","0.106542925976","418 /  0     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.106542925976","25 /  0     "
"Casein kinase II alpha","CSNK2A1","P68400","CHEMBL3629","Kinase","0.106542925976","27 /  0     "
"Urotensin II receptor","UTS2R","Q9UKP6","CHEMBL3764","Family A G protein-coupled receptor","0.106542925976","96 /  0     "
"Casein kinase II alpha (prime)","CSNK2A2","P19784","CHEMBL4070","Kinase","0.106542925976","18 /  0     "
"Gamma-secretase","PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B","P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43","CHEMBL2094135","Protease","0.106542925976","112 /  0     "
"Bradykinin B2 receptor","BDKRB2","P30411","CHEMBL3157","Family A G protein-coupled receptor","0.106542925976","23 /  0     "
"Anti-estrogen binding site (AEBS)","EBP","Q15125","CHEMBL4931","Enzyme","0.106542925976","5 /  0     "
"Nucleotide-binding oligomerization domain-containing protein 1","NOD1","Q9Y239","CHEMBL1293222","Unclassified protein","0.106542925976","6 /  0     "
"Nucleotide-binding oligomerization domain-containing protein 2","NOD2","Q9HC29","CHEMBL1293266","Unclassified protein","0.106542925976","5 /  0     "
"Dual specificity protein kinase TTK","TTK","P33981","CHEMBL3983","Kinase","0.106542925976","12 /  0     "
"Tyrosine-protein kinase JAK3","JAK3","P52333","CHEMBL2148","Kinase","0.106542925976","70 /  0     "
"Glycine transporter 2","SLC6A5","Q9Y345","CHEMBL3060","Electrochemical transporter","0.106542925976","43 /  0     "
"Cyclin-dependent kinase 4","CDK4","P11802","CHEMBL331","Kinase","0.106542925976","79 /  0     "
"C-X-C chemokine receptor type 7","ACKR3","P25106","CHEMBL2010631","Family A G protein-coupled receptor","0.106542925976","32 /  0     "
"Cathepsin L","CTSL","P07711","CHEMBL3837","Protease","0.106542925976","49 /  0     "
"Inhibitor of apoptosis protein 3","XIAP","P98170","CHEMBL4198","Other cytosolic protein","0.106542925976","333 /  0     "
"Toll-like receptor 8","TLR8","Q9NR97","CHEMBL5805","Toll-like and Il-1 receptors","0.106542925976","2 /  0     "
"Toll-like receptor (TLR7/TLR9)","TLR7","Q9NYK1","CHEMBL5936","Toll-like and Il-1 receptors","0.106542925976","15 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.106542925976","50 /  0     "
"Phosphodiesterase 8B","PDE8B","O95263","CHEMBL4408","Phosphodiesterase","0.106542925976","16 /  0     "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.106542925976","90 /  28     "
"DNA-directed RNA polymerase I subunit RPA1","POLR1A","O95602","CHEMBL3286067","Enzyme","0.106542925976","12 /  0     "
"C-X-C chemokine receptor type 3","CXCR3","P49682","CHEMBL4441","Family A G protein-coupled receptor","0.106542925976","27 /  0     "
"Sodium channel protein type V alpha subunit","SCN5A","Q14524","CHEMBL1980","Voltage-gated ion channel","0.106542925976","8 /  0     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.106542925976","162 /  0     "
"PI3-kinase p110-delta subunit","PIK3CD","O00329","CHEMBL3130","Enzyme","0.106542925976","81 /  0     "
"Sodium channel protein type IX alpha subunit","SCN9A","Q15858","CHEMBL4296","Voltage-gated ion channel","0.106542925976","20 /  0     "
"Serine/threonine-protein kinase PAK 4","PAK4","O96013","CHEMBL4482","Kinase","0.106542925976","44 /  0     "
"Metabotropic glutamate receptor 2   (by homology)","GRM2","Q14416","CHEMBL5137","Family C G protein-coupled receptor","0.106542925976","10 /  0     "
"Oxytocin receptor","OXTR","P30559","CHEMBL2049","Family A G protein-coupled receptor","0.106542925976","76 /  0     "
"Platelet-derived growth factor receptor alpha","PDGFRA","P16234","CHEMBL2007","Kinase","0.106542925976","41 /  0     "
"Probable G-protein coupled receptor 88","GPR88","Q9GZN0","CHEMBL3399910","Family A G protein-coupled receptor","0.106542925976","67 /  0     "
"Bcl2-antagonist of cell death (BAD)","BAD","Q92934","CHEMBL3817","Other cytosolic protein","0.106542925976","6 /  0     "
"Apoptosis regulator Bcl-2","BCL2","P10415","CHEMBL4860","Other ion channel","0.106542925976","19 /  0     "
"Phosphoethanolamine/phosphocholine phosphatase","PHOSPHO1","Q8TCT1","CHEMBL6113","Enzyme","0.106542925976","1 /  0     "
