"from","to","width"
"STITCH
staurosporine(CID100005279)","GO:0004712 protein
serine/threonine/tyrosine
kinase activity",1.5125
"STITCH
staurosporine(CID100005279)","Protein kinase domain",1.5125
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","Protein kinase domain",5
"STITCH
staurosporine(CID100005279)","GO:0004672 protein kinase
activity",1.5125
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0004672 protein kinase
activity",5
"Protein kinase domain","GO:0004672 protein kinase
activity",5
"STITCH
staurosporine(CID100005279)","Ponatinib",0.775941230486685
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","Ponatinib",1.05551497443389
"Protein kinase domain","Ponatinib",1.05551497443389
"GO:0004672 protein kinase
activity","Ponatinib",1.05551497443389
"STITCH
staurosporine(CID100005279)","GO:0016773 phosphotransferase
activity alcohol group as
acceptor",1.43961927424153
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0016773 phosphotransferase
activity alcohol group as
acceptor",4.72608024691358
"Protein kinase domain","GO:0016773 phosphotransferase
activity alcohol group as
acceptor",4.72608024691358
"GO:0004672 protein kinase
activity","GO:0016773 phosphotransferase
activity alcohol group as
acceptor",4.72608024691358
"Ponatinib","GO:0016773 phosphotransferase
activity alcohol group as
acceptor",1.00069252077563
"STITCH
staurosporine(CID100005279)","GO:0006468 protein
phosphorylation",1.25
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0006468 protein
phosphorylation",2.65842013888889
"Protein kinase domain","GO:0006468 protein
phosphorylation",2.65842013888889
"GO:0004672 protein kinase
activity","GO:0006468 protein
phosphorylation",2.65842013888889
"Ponatinib","GO:0006468 protein
phosphorylation",0.783420138888888
"GO:0016773 phosphotransferase
activity alcohol group as
acceptor","GO:0006468 protein
phosphorylation",2.8125
"STITCH
staurosporine(CID100005279)","GO:0010033 response to
organic substance",0.476859861591696
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0010033 response to
organic substance",0.540439106774253
"Protein kinase domain","GO:0010033 response to
organic substance",0.540439106774253
"GO:0004672 protein kinase
activity","GO:0010033 response to
organic substance",0.540439106774253
"GO:0016773 phosphotransferase
activity alcohol group as
acceptor","GO:0010033 response to
organic substance",0.586413961343593
"GO:0006468 protein
phosphorylation","GO:0010033 response to
organic substance",0.918367346938777
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:1901700 response to
oxygen-containing compound",0.503905265810026
"Protein kinase domain","GO:1901700 response to
oxygen-containing compound",0.503905265810026
"GO:0004672 protein kinase
activity","GO:1901700 response to
oxygen-containing compound",0.503905265810026
"GO:0016773 phosphotransferase
activity alcohol group as
acceptor","GO:1901700 response to
oxygen-containing compound",0.48828125
"GO:0006468 protein
phosphorylation","GO:1901700 response to
oxygen-containing compound",0.847750865051903
"GO:0010033 response to
organic substance","GO:1901700 response to
oxygen-containing compound",2.78281683043588
"STITCH
staurosporine(CID100005279)","GO:0016310 phosphorylation",1.15569526627219
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0016310 phosphorylation",2.45
"Protein kinase domain","GO:0016310 phosphorylation",2.45
"GO:0004672 protein kinase
activity","GO:0016310 phosphorylation",2.45
"Ponatinib","GO:0016310 phosphorylation",0.722
"GO:0016773 phosphotransferase
activity alcohol group as
acceptor","GO:0016310 phosphorylation",2.592
"GO:0006468 protein
phosphorylation","GO:0016310 phosphorylation",4.608
"GO:0010033 response to
organic substance","GO:0016310 phosphorylation",0.950032873109797
"GO:1901700 response to
oxygen-containing compound","GO:0016310 phosphorylation",0.883217811384164
"STITCH
staurosporine(CID100005279)","GO:0010646 reg. of cell
communication",0.589218088661171
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0010646 reg. of cell
communication",0.883217811384164
"Protein kinase domain","GO:0010646 reg. of cell
communication",0.883217811384164
"GO:0004672 protein kinase
activity","GO:0010646 reg. of cell
communication",0.883217811384164
"GO:0016773 phosphotransferase
activity alcohol group as
acceptor","GO:0010646 reg. of cell
communication",0.945179584120982
"GO:0006468 protein
phosphorylation","GO:0010646 reg. of cell
communication",1.58698670898631
"GO:0010033 response to
organic substance","GO:0010646 reg. of cell
communication",1.9429920728622
"GO:1901700 response to
oxygen-containing compound","GO:0010646 reg. of cell
communication",1.35485081628823
"GO:0016310 phosphorylation","GO:0010646 reg. of cell
communication",1.62133487654321
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0042221 response to
chemical",0.528125
"Protein kinase domain","GO:0042221 response to
chemical",0.528125
"GO:0004672 protein kinase
activity","GO:0042221 response to
chemical",0.528125
"GO:0016773 phosphotransferase
activity alcohol group as
acceptor","GO:0042221 response to
chemical",0.56953125
"GO:0006468 protein
phosphorylation","GO:0042221 response to
chemical",0.940629989838873
"GO:0010033 response to
organic substance","GO:0042221 response to
chemical",3.81273556833961
"GO:1901700 response to
oxygen-containing compound","GO:0042221 response to
chemical",2.28526086094029
"GO:0016310 phosphorylation","GO:0042221 response to
chemical",0.970096371882084
"GO:0010646 reg. of cell
communication","GO:0042221 response to
chemical",2.01070791195717
"STITCH
staurosporine(CID100005279)","GO:0016301 kinase activity",1.43961927424153
"GO:0004712 protein
serine/threonine/tyrosine
kinase activity","GO:0016301 kinase activity",4.72608024691358
"Protein kinase domain","GO:0016301 kinase activity",4.72608024691358
"GO:0004672 protein kinase
activity","GO:0016301 kinase activity",4.72608024691358
"Ponatinib","GO:0016301 kinase activity",1.00069252077563
