"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.37977088099609e-25,25,184,29.0545002031694,"STITCH staurosporine(CID100005279)","HTTPS://GENESETDB.AUCKLAND.AC.NZ"," CDK4  PIM2  CTSL  AKT1  FGFR1  FLT3  XIAP  IGF1R  IKBKB  JAK3  LCK  IRAK4  PDGFRA  ABCB1  PIM1  PRKCB  PRKCI  PRKCQ  RAF1  BCL2  RET  SRC  TTK  CASP3  CCNB1"
9.20123321959929e-25,77,4821,3.41542550407388,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," BAD  CHRNA4  IKBKB  JAK3  PDGFRB  FLT3  THRA  EGLN1  IGF1R  ACKR3  THRB  NOD2  HTR1F  HTR1D  CCR8  CCR4  CXCR3  EPHB4  SRC  IRAK4  HDAC1  CHRND  FGFR1  ABCB1  ABL1  XIAP  PDGFRA  HCN4  AKT1  CACNA1B  CHRNB2  CASP3  HCN1  BCL2  LCK  SCN5A  CACNA1G  PIK3CB  MAOB  ACHE  AHCY  GNRHR  BIRC2  LTA4H  BCHE  CHRNB4  AVPR2  PAK4  RAF1  CDK4  HTR7  NCSTN  PRKCI  GRM2  TERT  RET  AVPR1A  PRKCB  BDKRB2  ADRB2  SCN9A  TACR3  CDK1  PIK3CD  YES1  OXTR  TRPV1  PIM3  CTSL  PSEN1  PRKCQ  CHRNA3  NOD1  PIM1  MMP3  BIRC3  MBTPS1"
9.56178637679637e-25,72,4103,3.75251297773911,"GO:0065008 regulation of biological quality "," http://amigo.geneontology.org/amigo/term/GO:0065008"," BAD  CACNA1G  ADRB1  CHRNA3  PSEN1  ABCB1  ACHE  CHRNA4  JAK3  BCHE  CHRNB4  AVPR2  CHRND  BLK  CHRNA1  IGF1R  ACKR3  CACNA1B  CHRNB2  CASP3  AVPR1A  ADRB2  SCN9A  CCR8  OXTR  CCR4  SCN5A  CXCR3  TRPV1  CHRNG  SRC  AVPR1B  HCN4  HCN1  BDKRB2  CCKBR  PDGFRA  EGLN1  TERT  BCL2  PIK3CB  PRKCQ  MAOB  ABL1  XIAP  PDE8B  THRA  RAF1  PIM1  AKT1  HTR7  THRB  CCNB2  NCSTN  PRKCI  GRM2  RET  SLC6A5  PRKCB  TACR3  HTR1D  UTS2R  MAOA  PIM3  LCK  PIM2  NOD2  PIK3CD  FLT3  CTSL  GNRHR  YES1"
3.83583495177549e-24,65,3269,4.25196478959812,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," IKBKB  JAK3  FLT3  THRA  IGF1R  THRB  NOD2  HTR1F  HTR1D  SRC  IRAK4  HDAC1  CHRND  FGFR1  XIAP  PDGFRB  PDGFRA  HCN4  AKT1  CACNA1B  CASP3  HCN1  BCL2  BAD  MAOB  ACHE  ABL1  GNRHR  BIRC2  LTA4H  BCHE  AVPR2  PAK4  RAF1  CDK4  HTR7  CHRNB2  NCSTN  PRKCI  GRM2  AVPR1A  PRKCB  ADRB2  TACR3  CDK1  YES1  CCR8  OXTR  CCR4  CXCR3  TRPV1  PIM3  CTSL  PIK3CB  PSEN1  PIK3CD  PRKCQ  NOD1  PIM1  ACKR3  RET  CHRNA3  BIRC3  MBTPS1  MMP3"
1.5269800021177e-23,61,2872,4.54189011532554,"R-HSA-162582 Signal Transduction","HTTPS://REACTOME.ORG/PATHWAYBROWSER/#/R-HSA-162582"," BAD  BIRC3  ADRB1  PIK3CB  PRKCQ  CSNK2A2  FGFR1  PSEN1  ABL1  CSNK2A1  XIAP  IKBKB  JAK3  GNRHR  CCKBR  BIRC2  PDE8B  PDGFRB  HDAC1  APH1A  FLT3  AVPR2  PAK4  RAF1  PDGFRA  CDK4  APH1B  IGF1R  AKT1  PSEN2  ACKR3  HTR7  MMP3  NCSTN  PRKCI  GRM2  CASP3  TERT  RET  AVPR1A  PRKCB  BDKRB2  ADRB2  TACR3  CDK1  PIK3CD  BCL2  YES1  AURKB  HTR1F  HTR1D  CCR8  OXTR  UTS2R  LCK  CCR4  CXCR3  SRC  IRAK4  AVPR1B  PSENEN"
6.37327099856044e-23,31,470,14.1044143965003,"GO:0004712 protein serine/threonine/tyrosine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004712"," TTK  AKT1  PRKCQ  CSNK2A2  FGFR1  ABL1  CSNK2A1  PIM2  IKBKB  JAK3  PDGFRB  FLT3  PAK4  RAF1  PDGFRA  CDK4  BLK  PIM1  IGF1R  PRKCI  RET  WEE1  PRKCB  CDK1  YES1  AURKB  LCK  EPHB4  SRC  IRAK4  PIM3"
1.03741138322815e-22,31,480,13.8105724299065,"Protein kinase domain","HTTPS://MAAYANLAB.CLOUD/ENRICHR"," AKT1  PRKCI  PRKCB  PRKCQ  RET  CSNK2A2  CSNK2A1  IKBKB  JAK3  BLK  PIM2  PIM1  PIM3  ABL1  CDK4  CDK1  LCK  SRC  FLT3  TTK  EPHB4  YES1  PDGFRB  PDGFRA  RAF1  AURKB  PAK4  FGFR1  IGF1R  IRAK4  WEE1"
2.29296634780378e-21,62,3300,4.01762107051827,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," BAD  IKBKB  JAK3  PDGFRB  FLT3  THRA  EGLN1  IGF1R  ACKR3  THRB  HTR1F  HTR1D  CCR8  CCR4  CXCR3  SRC  IRAK4  HDAC1  CHRND  FGFR1  ABL1  XIAP  PDGFRA  HCN4  AKT1  CASP3  HCN1  NOD2  SCN5A  PIK3CB  ACHE  GNRHR  BIRC2  PAK4  RAF1  CDK4  HTR7  CHRNB2  NCSTN  PRKCI  TERT  AVPR1A  PRKCB  BDKRB2  ADRB2  CDK1  BCL2  YES1  TRPV1  PIM3  CTSL  PSEN1  PIK3CD  PRKCQ  NOD1  PIM1  RET  CHRNA3  MMP3  BIRC3  BCHE  MBTPS1"
1.47168903949135e-20,47,1752,5.73660542824222,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," JAK3  IGF1R  NOD2  HTR1F  HTR1D  CHRND  ABL1  PDGFRA  EGLN1  HCN4  CACNA1B  HCN1  BAD  MAOB  ACHE  GNRHR  BIRC2  LTA4H  PDGFRB  BCHE  RAF1  CDK4  AKT1  HTR7  CHRNB2  NCSTN  PRKCI  GRM2  CASP3  AVPR1A  PRKCB  ADRB2  TACR3  CDK1  BCL2  YES1  OXTR  TRPV1  SRC  PIM3  PSEN1  PRKCQ  NOD1  PIM1  RET  CHRNA3  MMP3"
1.81882228561768e-20,32,632,10.8273985567254,"GO:0004672 protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004672"," PRKCQ  ABL1  IKBKB  AKT1  PRKCB  YES1  AURKB  LCK  SRC  IRAK4  CSNK2A2  FGFR1  CSNK2A1  PIM2  JAK3  TTK  PDGFRB  FLT3  PAK4  RAF1  PDGFRA  CDK4  BLK  PIM1  IGF1R  PRKCI  RET  WEE1  CDK1  EPHB4  PIM3  PIK3CB"
