"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Diacylglycerol O-acyltransferase 1","DGAT1","O75907","CHEMBL6009","Enzyme","0.103186936728","21 /  0     "
"Phosphodiesterase 4B","PDE4B","Q07343","CHEMBL275","Phosphodiesterase","0.103186936728","190 /  0     "
"c-Jun N-terminal kinase 1","MAPK8","P45983","CHEMBL2276","Kinase","0.103186936728","295 /  0     "
"Fibroblast growth factor receptor 3","FGFR3","P22607","CHEMBL2742","Kinase","0.103186936728","65 /  0     "
"Fibroblast growth factor receptor 1","FGFR1","P11362","CHEMBL3650","Kinase","0.103186936728","138 /  0     "
"Fibroblast growth factor receptor 2","FGFR2","P21802","CHEMBL4142","Kinase","0.103186936728","81 /  0     "
"Serine/threonine-protein kinase TBK1","TBK1","Q9UHD2","CHEMBL5408","Kinase","0.103186936728","38 /  0     "
"Sodium/calcium exchanger 1","SLC8A1","P32418","CHEMBL4076","Electrochemical transporter","0.103186936728","194 /  0     "
"Cyclin T1","CCNT1","O60563","CHEMBL2108","Other cytosolic protein","0.103186936728","16 /  0     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.103186936728","117 /  0     "
"Legumain","LGMN","Q99538","CHEMBL4244","Protease","0.103186936728","63 /  0     "
"Serine/threonine-protein kinase Aurora-B","AURKB","Q96GD4","CHEMBL2185","Kinase","0.103186936728","363 /  0     "
"Vanilloid receptor","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.103186936728","300 /  0     "
"Tyrosine-protein kinase BTK","BTK","Q06187","CHEMBL5251","Kinase","0.103186936728","130 /  0     "
"Acyl-CoA desaturase","SCD","O00767","CHEMBL5555","Enzyme","0.103186936728","127 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.103186936728","440 /  0     "
"Acyl coenzyme A:cholesterol acyltransferase 1","SOAT1","P35610","CHEMBL2782","Enzyme","0.103186936728","51 /  0     "
"Vascular endothelial growth factor receptor 1","FLT1","P17948","CHEMBL1868","Kinase","0.103186936728","101 /  0     "
