shared_gene,phenotype,concurrency_phenotype,concurrency_gene,Total_concurrency
['PLEC'],"['Microtia', 'Microtia', 'Pelvic girdle muscle weakness', 'Proximal muscle weakness', 'Motor delay', 'Motor delay', 'Areflexia', 'Global developmental delay', 'Palmoplantar blistering', 'Finger syndactyly', 'Acral blistering', 'Congenital localized absence of skin', 'Aplasia cutis congenita of scalp', 'Loss of ambulation', 'Neonatal death', 'Glomerular sclerosis', 'Abnormality of the urinary system', 'Renal duplication', 'Ureterocele', 'Flexion contracture', 'Flexion contracture', 'Flexion contracture', 'Intra-epidermal blistering', 'Intra-epidermal blistering', 'Calvarial skull defect', 'Plantar hyperkeratosis', 'Autosomal recessive inheritance', 'Autosomal recessive inheritance', 'Autosomal recessive inheritance', 'Autosomal recessive inheritance', 'Autosomal recessive inheritance', 'Autosomal dominant inheritance', 'Neonatal respiratory distress', 'Abnormality of the dentition', 'Bilateral ptosis', 'Increased circulating lactate dehydrogenase concentration', 'Calf muscle hypertrophy', 'Enamel hypoplasia', 'Enamel hypoplasia', 'Skin fragility with non-scarring blistering', 'Skin fragility with non-scarring blistering', 'Aplasia cutis congenita on trunk or limbs', 'Aplasia cutis congenita on trunk or limbs', 'Hydronephrosis', 'Renal dysplasia', 'Esophageal atresia', 'Limb-girdle muscle weakness', 'Dysphagia', 'Abnormality of the abdominal organs', 'Vomiting', 'Lamina lucida cleavage', 'Lamina lucida cleavage', 'Generalized muscle weakness', 'Generalized muscle weakness', 'Decreased cervical spine flexion due to contractures of posterior cervical muscles', 'Abnormality of the respiratory system', 'Gowers sign', 'Gowers sign', 'Intractable diarrhea', 'Right bundle branch block', 'Proximal upper limb muscle hypertrophy', 'Axial muscle atrophy', 'Aplasia of the bladder', 'Fatigable weakness', 'EMG: myopathic abnormalities', 'Delayed gross motor development', 'Nail dysplasia', 'Nail dysplasia', 'Muscle flaccidity', 'Echolalia', 'Punctate keratitis', 'Congenital onset', 'Congenital onset', 'Muscle fiber splitting', 'Difficulty climbing stairs', 'Difficulty climbing stairs', 'Muscular dystrophy', 'Muscular dystrophy', 'Muscular dystrophy', 'Increased variability in muscle fiber diameter', 'Pulmonary fibrosis', 'Onychogryposis of toenails', 'Nail dystrophy', 'Nail dystrophy', 'Nail dystrophy', 'Nail dystrophy', 'Atelectasis', 'Oral mucosal blisters', 'Oral mucosal blisters', 'Facial palsy', 'Bilateral facial palsy', 'Bronchiolitis', 'Hypopigmented macule', 'Milia', 'Milia', 'Milia', 'Aplasia cutis congenita', 'Aplasia cutis congenita', 'Aplasia cutis congenita', 'Aphasia', 'Axillary pterygium', 'Hypermelanotic macule', 'Fragile skin', 'Fragile skin', 'Fragile skin', 'Fragile skin', 'Frequent falls', 'Rapidly progressive', 'Skin vesicle', 'Papule', 'Atrophic scars', 'Atrophic scars', 'Skin ulcer', 'Skin erosion', 'Skin erosion', 'Hypoplastic dermoepidermal hemidesmosomes', 'Hypoplastic dermoepidermal hemidesmosomes', 'Erythema', 'Mutism', 'Progressive proximal muscle weakness', 'Ophthalmoplegia', 'Anemia', 'Distal lower limb muscle weakness', 'Abnormal dental enamel morphology', 'Increased connective tissue', 'Ectropion', 'Carious teeth', 'Short stature', 'Dermal atrophy', 'Congenital pyloric atresia', 'Congenital pyloric atresia', 'Congenital pyloric atresia', 'Stratum basale cleavage', 'Prolonged bleeding time', 'Abnormality of bone mineral density', 'Childhood onset', 'Childhood onset', 'Fetal onset', 'Abnormality of the urethra', 'Myopathy', 'Aplasia cutis congenita over the scalp vertex', 'Tactile hypersensitivity', 'Elevated circulating creatine kinase concentration', 'Elevated circulating creatine kinase concentration', 'Elevated circulating creatine kinase concentration', 'Scarring alopecia of scalp', 'Scarring alopecia of scalp', 'Skeletal muscle atrophy', 'Skeletal muscle atrophy', 'Urethrovesical occlusion', 'Abdominal distention', 'Spinal dysraphism', 'Bruising susceptibility', 'Palmoplantar hyperkeratosis', 'Pruritus', 'Palmoplantar keratoderma', 'Abnormality of the skin', 'Aplasia/Hypoplasia of the skin', 'Abnormal blistering of the skin', 'Abnormal blistering of the skin', 'Abnormal blistering of the skin', 'Abnormal blistering of the skin', 'Abnormal blistering of the skin', 'Abnormal blistering of the skin', 'Motheaten muscle fibers', 'Alopecia', 'Alopecia', 'Oculomotor nerve palsy', 'Macrocephaly', 'Arthrogryposis multiplex congenita', 'Urethral stricture', 'Exertional dyspnea', 'Polyhydramnios', 'Polyhydramnios', 'Polyhydramnios', 'Death in infancy', 'Fatigue', 'Anti-acetylcholine receptor antibody positivity', 'Lumbar hyperlordosis', 'Hypernasal speech', 'Abnormal heart morphology', 'Abnormality of the cardiovascular system', 'Abnormality of the eye', 'Keratitis', 'Deeply set eye', 'Anteverted nares', 'Anonychia', 'Achilles tendon contracture', 'Toe syndactyly', 'Underdeveloped nasal alae', 'Ptosis', 'Hypoplastic fingernail', 'Hyperconvex fingernails', 'Ophthalmoparesis']",27,0,27
['CPD'],[],0,0,0
['Annexin-2'],[],0,0,0
['CAK-beta'],[],0,0,0
['TFCOUP1'],[],0,0,0
['MAP3K11'],[],0,0,0
['MTND6'],[],0,0,0
['PSP24-beta'],[],0,0,0
['Terminal addition enzyme'],[],0,0,0
['OPRM1'],[],0,0,0
['K86'],[],0,0,0
['CCP1'],[],0,0,0
['Deubiquitinating enzyme 30'],[],0,0,0
['GPR74'],[],0,0,0
['Apo-2 ligand'],[],0,0,0
['Aldehyde dehydrogenase 7'],[],0,0,0
['Peptidase M 1'],[],0,0,0
['Organic anion-transporting polypeptide 1'],[],0,0,0
['NUDIX5'],[],0,0,0
['PIP5K1A'],[],0,0,0
['LXA4 receptor'],[],0,0,0
['IKAROS'],[],0,0,0
['Tho4'],[],0,0,0
['IFN-alpha-10'],[],0,0,0
['Thioredoxin-dependent peroxide reductase A0372'],[],0,0,0
['MET1'],[],0,0,0
['Ubiquitin thioesterase OTU1'],[],0,0,0
['CTCFL paralog'],[],0,0,0
['CI-MLRQ'],[],0,0,0
['60S ribosomal protein L7a'],[],0,0,0
['KIAA0070'],[],0,0,0
['Cystatin-C'],[],0,0,0
['Yolk sac permease-like molecule 2'],[],0,0,0
['hPC6'],[],0,0,0
['S1PR3'],[],0,0,0
['GPR135'],[],0,0,0
['B lymphocyte serine/threonine-protein kinase'],[],0,0,0
['Alpha-2 type I collagen'],[],0,0,0
['2.4.2.-'],[],0,0,0
['UDP-glucuronosyltransferase 2A3'],[],0,0,0
['EPHA3'],[],0,0,0
['MLL3'],[],0,0,0
['NFAT transcription complex cytosolic component'],[],0,0,0
['60S ribosomal protein L26'],[],0,0,0
['Tumor necrosis factor superfamily member 5-induced protein 1'],[],0,0,0
['Squamous cell carcinoma-related oncogene 5'],[],0,0,0
['GRIM12'],[],0,0,0
['INO80 complex subunit J'],[],0,0,0
['Interferon beta'],[],0,0,0
['Helicard'],[],0,0,0
['Secreted phosphoprotein 1'],[],0,0,0
"[""Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial""]",[],0,0,0
['Synonyms=VKOR'],[],0,0,0
['TBP7'],[],0,0,0
['Cyclin-dependent kinase 2-associated protein 1'],[],0,0,0
['UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10'],[],0,0,0
['ADP-ribosyltransferase diphtheria toxin-like 17'],[],0,0,0
['NK-3R'],[],0,0,0
['Plasma retinol-binding protein(1-181)'],[],0,0,0
['TARSL1'],[],0,0,0
['PRKMK2'],[],0,0,0
['Dual specificity tyrosine-phosphorylation-regulated kinase 4'],[],0,0,0
['Gamma-aminobutyric acid receptor subunit gamma-2'],[],0,0,0
['G22P1'],[],0,0,0
['Cholesterol 24-hydroxylase'],[],0,0,0
['Palmitoyl-protein hydrolase'],[],0,0,0
['DNA-PKcs-interacting protein'],[],0,0,0
['CD_antigen=CD116'],[],0,0,0
['S1P GN  '],[],0,0,0
['RPS23'],"['Generalized hypotonia', 'Motor delay', 'Prominent fingertip pads', 'Highly arched eyebrow', 'Specific learning disability', 'Autosomal dominant inheritance', 'Thick lower lip vermilion', 'Open mouth', 'Bifid uvula', 'Submucous cleft hard palate', 'Brittle hair', 'Periorbital fullness', 'Synophrys', 'Short stature', 'Autistic behavior', 'Single transverse palmar crease', 'Epicanthus', 'Microcephaly', 'High palate', 'Thin vermilion border', 'Supernumerary tooth', 'Overfolded helix', 'Low-set ears', 'Conductive hearing impairment', 'Depressed nasal bridge', 'Flat occiput', 'Long eyelashes', 'Blue sclerae', 'Thick eyebrow']",4,0,4
['Proto-oncogene c-Myb'],[],0,0,0
['Acidic mammalian chitinase'],[],0,0,0
['SDR3'],[],0,0,0
['SERPINF1'],"['Joint hypermobility', 'Increased susceptibility to fractures', 'Autosomal recessive inheritance', 'Dentinogenesis imperfecta', 'Protrusio acetabuli', 'Beaking of vertebral bodies', 'Biconcave vertebral bodies', 'Coxa vara', 'Vertebral compression fracture']",0,0,0
['LRP-515'],[],0,0,0
['LIM domain kinase 2'],[],0,0,0
['IMP-1'],[],0,0,0
['hME'],[],0,0,0
['PR domain-containing protein 13'],[],0,0,0
['Histone-lysine N-methyltransferase 2D'],[],0,0,0
['LPL-I'],[],0,0,0
['Interleukin-23 subunit alpha'],[],0,0,0
['PYRIN-containing APAF1-like protein 1'],[],0,0,0
['Lysosomal alpha-mannosidase C peptide'],[],0,0,0
['Voltage-gated potassium channel subunit Kv3.3'],[],0,0,0
['Thyroid hormone receptor coactivating protein of 120 kDa'],[],0,0,0
['D-galactose 1-phosphate phosphatase'],[],0,0,0
['CD_antigen=CD156c'],[],0,0,0
['pp-GaNTase 13'],[],0,0,0
['NEDD-8'],[],0,0,0
['hnRNP A2/B1'],[],0,0,0
['MAPK1'],"['Tapered finger', 'Arachnodactyly', 'Language impairment', 'Short distal phalanx of finger', 'Generalized hypotonia', 'Seizure', 'Intellectual disability', 'Intellectual disability', 'Global developmental delay', 'Global developmental delay', 'Highly arched eyebrow', 'Highly arched eyebrow', 'Duplicated collecting system', 'Typically de novo', 'Limited elbow extension', 'Joint hypermobility', 'Joint hypermobility', 'Inguinal hernia', 'Plagiocephaly', 'Cryptorchidism', 'Neoplasm', 'Recurrent urinary tract infections', 'Coxa valga', 'Autosomal dominant inheritance', 'Scoliosis', 'Bowel incontinence', 'Head-banging', 'Narrow mouth', 'Cleft palate', 'Wide mouth', 'High, narrow palate', 'Immunodeficiency', 'Pyloric stenosis', 'Gastroesophageal reflux', 'Hyperlordosis', 'Lower limb asymmetry', 'Ulnar deviation of finger', 'Generalized-onset seizure', 'Low posterior hairline', 'Camptodactyly of finger', 'Generalized hirsutism', 'Recurrent respiratory infections', 'Attention deficit hyperactivity disorder', 'Attention deficit hyperactivity disorder', 'Cavum septum pellucidum', 'Lymphedema', 'Multiple lentigines', 'U-Shaped upper lip vermilion', 'Enlarged thorax', 'Branchial fistula', 'Aortic aneurysm', 'Clinodactyly of the 5th finger', 'Short palm', 'Blue irides', 'Microdontia', 'Widely spaced teeth', 'Oculomotor apraxia', 'Short stature', 'Tics', 'Anxiety', 'Delayed speech and language development', 'Depression', 'Aggressive behavior', 'Compulsive behaviors', 'Ankyloglossia', 'Hypertrichosis', 'Bruising susceptibility', 'Dry skin', 'Cafe-au-lait spot', 'Epicanthus', 'Coarse facial features', 'Long face', 'Malar flattening', 'Clinodactyly', 'Microcephaly', 'Microcephaly', 'Thin upper lip vermilion', 'High palate', 'Intrauterine growth retardation', 'Growth delay', 'Almond-shaped palpebral fissure', 'Hoarse voice', 'Bowing of the long bones', 'Abnormal earlobe morphology', 'Posteriorly rotated ears', 'Low-set ears', 'Narrow forehead', 'Long philtrum', 'High forehead', 'Micrognathia', 'Smooth philtrum', 'Hypertelorism', 'Truncus arteriosus', 'Aortic regurgitation', 'Mitral regurgitation', 'Facial asymmetry', 'Ventricular septal defect', 'Premature birth', 'Pointed chin', 'Pointed chin', 'Cubitus valgus', 'Atrial septal defect', 'Atrial septal defect', 'Mitral valve prolapse', 'Sensorineural hearing impairment', 'Recurrent otitis media', 'Infantile spasms', 'Downslanted palpebral fissures', 'Deeply set eye', 'Anteverted nares', 'Short neck', 'Webbed neck', 'Toe syndactyly', 'Pes planus', 'Pes planus', 'Choanal atresia', 'Bilateral talipes equinovarus', 'Wide nasal bridge', 'Underdeveloped nasal alae', 'Prominent nasal bridge', 'Prominent metopic ridge', 'Overlapping toe', 'Metatarsus adductus', 'Sandal gap', 'Ptosis', 'Absent toenail', 'Absent fingernail', 'Blepharophimosis', 'Broad eyebrow']",33,0,33
['Protein kinase C mu type'],[],0,0,0
['JBP1'],[],0,0,0
['CCR4-NOT transcription complex subunit 9'],[],0,0,0
['SGKL'],[],0,0,0
['GALRL'],[],0,0,0
['3.1.3.46'],[],0,0,0
['SRPK1'],[],0,0,0
['Steroid and xenobiotic receptor'],[],0,0,0
['V-ATPase subunit A'],[],0,0,0
['NCOA4'],[],0,0,0
['Cathepsin L'],[],0,0,0
['RNPC2'],[],0,0,0
['AUT-like 2 cysteine endopeptidase'],[],0,0,0
['Super conserved receptor expressed in brain 1'],[],0,0,0
['STK3'],[],0,0,0
['Dpy-30-like protein'],[],0,0,0
['RSPO3'],[],0,0,0
['3.1.26.4'],[],0,0,0
