"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.046016824209471,1,13,440.019230769231,"GO:0000012 single strand break repair "," http://amigo.geneontology.org/amigo/term/GO:0000012"," TDP1"
0.046016824209471,1,24,238.34375,"GO:0000303 response to superoxide "," http://amigo.geneontology.org/amigo/term/GO:0000303"," NFE2L2"
0.046016824209471,1,25,228.81,"GO:0000305 response to oxygen radical "," http://amigo.geneontology.org/amigo/term/GO:0000305"," NFE2L2"
0.046016824209471,1,15,381.35,"GO:0006750 glutathione biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0006750"," NFE2L2"
0.046016824209471,1,18,317.791666666667,"GO:0009404 toxin metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009404"," NFE2L2"
0.046016824209471,2,586,19.5230375426621,"GO:0009896 positive regulation of catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009896"," TARDBP  NFE2L2"
0.046016824209471,1,24,238.34375,"GO:0010226 response to lithium ion "," http://amigo.geneontology.org/amigo/term/GO:0010226"," NFE2L2"
0.046016824209471,1,3,1906.75,"GO:0010499 proteasomal ubiquitin-independent protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0010499"," NFE2L2"
0.046016824209471,1,30,190.675,"GO:0010667 negative regulation of cardiac muscle cell apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0010667"," NFE2L2"
0.046016824209471,1,31,184.524193548387,"GO:0014912 negative regulation of smooth muscle cell migration "," http://amigo.geneontology.org/amigo/term/GO:0014912"," NFE2L2"
0.046016824209471,1,17,336.485294117647,"GO:0019184 nonribosomal peptide biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0019184"," NFE2L2"
0.046016824209471,1,19,301.065789473684,"GO:0019430 removal of superoxide radicals "," http://amigo.geneontology.org/amigo/term/GO:0019430"," NFE2L2"
0.046016824209471,1,29,197.25,"GO:0030194 positive regulation of blood coagulation "," http://amigo.geneontology.org/amigo/term/GO:0030194"," NFE2L2"
0.046016824209471,2,501,22.8353293413174,"GO:0031331 positive regulation of cellular catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0031331"," TARDBP  NFE2L2"
0.046016824209471,3,2160,7.94479166666667,"GO:0033554 cellular response to stress "," http://amigo.geneontology.org/amigo/term/GO:0033554"," TDP1  NFE2L2  CBX1"
0.046016824209471,2,514,22.2577821011673,"GO:0034248 regulation of cellular amide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034248"," TARDBP  NFE2L2"
0.046016824209471,1,14,408.589285714286,"GO:0034616 response to laminar fluid shear stress "," http://amigo.geneontology.org/amigo/term/GO:0034616"," NFE2L2"
0.046016824209471,1,30,190.675,"GO:0036003 positive regulation of transcription from RNA polymerase II promoter in response to stress "," http://amigo.geneontology.org/amigo/term/GO:0036003"," NFE2L2"
0.046016824209471,1,6,953.375,"GO:0036091 positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0036091"," NFE2L2"
0.046016824209471,1,29,197.25,"GO:0036474 cell death in response to hydrogen peroxide "," http://amigo.geneontology.org/amigo/term/GO:0036474"," NFE2L2"
0.046016824209471,1,18,317.791666666667,"GO:0036499 PERK-mediated unfolded protein response "," http://amigo.geneontology.org/amigo/term/GO:0036499"," NFE2L2"
0.046016824209471,1,10,572.025,"GO:0042762 regulation of sulfur metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0042762"," NFE2L2"
0.046016824209471,1,7,817.178571428571,"GO:0043385 mycotoxin metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0043385"," NFE2L2"
0.046016824209471,1,12,476.6875,"GO:0043619 regulation of transcription from RNA polymerase II promoter in response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:0043619"," NFE2L2"
0.046016824209471,1,20,286.0125,"GO:0043922 negative regulation by host of viral transcription "," http://amigo.geneontology.org/amigo/term/GO:0043922"," TARDBP"
0.046016824209471,1,7,817.178571428571,"GO:0046222 aflatoxin metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046222"," NFE2L2"
0.046016824209471,2,505,22.6544554455446,"GO:0046700 heterocycle catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046700"," TARDBP  NFE2L2"
0.046016824209471,1,31,184.524193548387,"GO:0050820 positive regulation of coagulation "," http://amigo.geneontology.org/amigo/term/GO:0050820"," NFE2L2"
0.046016824209471,1,3,1906.75,"GO:0051176 positive regulation of sulfur metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051176"," NFE2L2"
0.046016824209471,1,17,336.485294117647,"GO:0061158 3-prime-UTR-mediated mRNA destabilization "," http://amigo.geneontology.org/amigo/term/GO:0061158"," TARDBP"
0.046016824209471,1,14,408.589285714286,"GO:0061418 regulation of transcription from RNA polymerase II promoter in response to hypoxia "," http://amigo.geneontology.org/amigo/term/GO:0061418"," NFE2L2"
0.046016824209471,1,6,953.375,"GO:0061419 positive regulation of transcription from RNA polymerase II promoter in response to hypoxia "," http://amigo.geneontology.org/amigo/term/GO:0061419"," NFE2L2"
0.046016824209471,1,25,228.81,"GO:0070935 3-prime-UTR-mediated mRNA stabilization "," http://amigo.geneontology.org/amigo/term/GO:0070935"," TARDBP"
0.046016824209471,1,31,184.524193548387,"GO:0071280 cellular response to copper ion "," http://amigo.geneontology.org/amigo/term/GO:0071280"," NFE2L2"
0.046016824209471,1,21,272.392857142857,"GO:0071450 cellular response to oxygen radical "," http://amigo.geneontology.org/amigo/term/GO:0071450"," NFE2L2"
0.046016824209471,1,21,272.392857142857,"GO:0071451 cellular response to superoxide "," http://amigo.geneontology.org/amigo/term/GO:0071451"," NFE2L2"
0.046016824209471,1,20,286.0125,"GO:0071498 cellular response to fluid shear stress "," http://amigo.geneontology.org/amigo/term/GO:0071498"," NFE2L2"
0.046016824209471,1,8,715.03125,"GO:0071499 cellular response to laminar fluid shear stress "," http://amigo.geneontology.org/amigo/term/GO:0071499"," NFE2L2"
0.046016824209471,1,29,197.25,"GO:1900048 positive regulation of hemostasis "," http://amigo.geneontology.org/amigo/term/GO:1900048"," NFE2L2"
0.046016824209471,1,17,336.485294117647,"GO:1901032 negative regulation of response to reactive oxygen species "," http://amigo.geneontology.org/amigo/term/GO:1901032"," NFE2L2"
0.046016824209471,2,554,20.6507220216607,"GO:1901361 organic cyclic compound catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1901361"," TARDBP  NFE2L2"
0.046016824209471,1,7,817.178571428571,"GO:1901376 organic heteropentacyclic compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:1901376"," NFE2L2"
0.046016824209471,1,25,228.81,"GO:1901522 positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:1901522"," NFE2L2"
0.046016824209471,1,14,408.589285714286,"GO:1901533 negative regulation of hematopoietic progenitor cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:1901533"," NFE2L2"
0.046016824209471,1,17,336.485294117647,"GO:1902036 regulation of hematopoietic stem cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:1902036"," NFE2L2"
0.046016824209471,1,5,1144.05,"GO:1902037 negative regulation of hematopoietic stem cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:1902037"," NFE2L2"
0.046016824209471,1,29,197.25,"GO:1902175 regulation of oxidative stress-induced intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:1902175"," NFE2L2"
0.046016824209471,1,19,301.065789473684,"GO:1902176 negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:1902176"," NFE2L2"
0.046016824209471,1,22,260.011363636364,"GO:1902883 negative regulation of response to oxidative stress "," http://amigo.geneontology.org/amigo/term/GO:1902883"," NFE2L2"
0.046016824209471,1,10,572.025,"GO:1903069 regulation of ER-associated ubiquitin-dependent protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1903069"," NFE2L2"
0.046016824209471,1,8,715.03125,"GO:1903071 positive regulation of ER-associated ubiquitin-dependent protein catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1903071"," NFE2L2"
0.046016824209471,1,25,228.81,"GO:1903205 regulation of hydrogen peroxide-induced cell death "," http://amigo.geneontology.org/amigo/term/GO:1903205"," NFE2L2"
0.046016824209471,1,17,336.485294117647,"GO:1903206 negative regulation of hydrogen peroxide-induced cell death "," http://amigo.geneontology.org/amigo/term/GO:1903206"," NFE2L2"
