Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
8.74E-30,53,1684,7.129965194,GO:0006468 protein phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0006468, JAK2  CCND1  TTK  CSNK1A1  CDK2  CSNK1G2  CCNB1  CCNH  TAOK3  CDK4  CDK9  CSNK1D  CCNA2  CCNB3  CCNB2  MAPKAPK2  CDK5  CDK1  GRK2  CDK5R1  RPS6KA3  TBK1  MTOR  AURKB  BTK  MAPK9  AURKA  SIRT1  ABL1  CDC25B  PIK3CG  TEK  CCNT1  IGF1R  ERBB2  BRD4  EGFR  BRAF  SYK  ALK  INSR  LCK  NTRK1  WEE1  BDKRB2  GRM5  JUN  DRD1  MAPK11  MMP9  SLC8A1  PIK3CD  CDC25C
1.26E-28,55,1994,6.248721412,GO:0016310 phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0016310, JAK2  CCND1  TTK  CSNK1A1  TEK  CDK2  CSNK1G2  CCNB1  CCNH  TAOK3  CDK4  CDK9  IGF1R  CSNK1D  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  MAPKAPK2  CDK5  CDK1  ALK  INSR  GRK2  CDK5R1  RPS6KA3  TBK1  NTRK1  MTOR  AURKB  BTK  MAPK9  AURKA  SIRT1  ABL1  CDC25B  PIK3CG  CCNT1  BRD4  BRAF  SYK  PIK3CD  LCK  CCKBR  WEE1  BDKRB2  GRM5  PFKFB3  JUN  DRD1  MAPK11  MMP9  SLC8A1  CDC25C
1.28E-25,61,3005,4.598741372,GO:0006796 phosphate-containing compound metabolic process , http://amigo.geneontology.org/amigo/term/GO:0006796, JAK2  PIK3CG  CCND1  TTK  CSNK1A1  TEK  CDK2  CSNK1G2  CCNB1  CCNH  TAOK3  CDK4  CDK9  IGF1R  CSNK1D  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  PDE9A  MAPKAPK2  CDK5  CDK1  PFKFB3  ALK  INSR  PIK3CD  GRK2  CDK5R1  RPS6KA3  TBK1  PLA2G2A  NTRK1  MTOR  AURKB  BTK  MAPK9  DGAT2  AURKA  FKBP1A  SIRT1  ABL1  CDC25B  CCNT1  BRD4  BRAF  SYK  LCK  CCKBR  CDC25C  CAPN2  WEE1  BDKRB2  GRM5  PTAFR  JUN  DRD1  MAPK11  MMP9  SLC8A1
1.53E-25,61,3030,4.560797961,GO:0006793 phosphorus metabolic process , http://amigo.geneontology.org/amigo/term/GO:0006793, JAK2  PIK3CG  CCND1  TTK  CSNK1A1  TEK  CDK2  CSNK1G2  CCNB1  CCNH  TAOK3  CDK4  CDK9  IGF1R  CSNK1D  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  PDE9A  MAPKAPK2  CDK5  CDK1  PFKFB3  ALK  INSR  PIK3CD  GRK2  CDK5R1  RPS6KA3  TBK1  PLA2G2A  NTRK1  MTOR  AURKB  BTK  MAPK9  DGAT2  AURKA  FKBP1A  SIRT1  ABL1  CDC25B  CCNT1  BRD4  BRAF  SYK  LCK  CCKBR  CDC25C  CAPN2  WEE1  BDKRB2  GRM5  PTAFR  JUN  DRD1  MAPK11  MMP9  SLC8A1
4.28E-20,41,1478,6.284388858,GO:0019220 regulation of phosphate metabolic process , http://amigo.geneontology.org/amigo/term/GO:0019220, CCND1  TEK  CCNB1  CCNH  IGF1R  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  ALK  INSR  CDK5R1  NTRK1  AURKB  MTOR  FKBP1A  SIRT1  ABL1  PIK3CG  BRD4  BRAF  JAK2  CDC25B  CCKBR  CCNT1  CAPN2  CDK5  SYK  BDKRB2  GRM5  PTAFR  JUN  DRD1  MMP9  TAOK3  CSNK1D  SLC8A1  TBK1  TTK  CDC25C
4.28E-20,41,1479,6.280139779,GO:0051174 regulation of phosphorus metabolic process , http://amigo.geneontology.org/amigo/term/GO:0051174, CCND1  TEK  CCNB1  CCNH  IGF1R  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  ALK  INSR  CDK5R1  NTRK1  AURKB  MTOR  FKBP1A  SIRT1  ABL1  PIK3CG  BRD4  BRAF  JAK2  CDC25B  CCKBR  CCNT1  CAPN2  CDK5  SYK  BDKRB2  GRM5  PTAFR  JUN  DRD1  MMP9  TAOK3  CSNK1D  SLC8A1  TBK1  TTK  CDC25C
4.28E-20,44,1752,5.689475112,GO:1901700 response to oxygen-containing compound , http://amigo.geneontology.org/amigo/term/GO:1901700, JAK2  SLC2A1  IGF1R  DRD1  CFTR  CALCRL  SIRT1  ABL1  LGMN  MMP9  RORC  EGFR  CACNA1B  INSR  SLC8A1  MTOR  TGM2  BTK  DGAT2  PIK3CG  GNRHR  CCND1  SMO  CDK4  CCNA2  SRD5A1  MAPKAPK2  CAPN2  CDK5  GRM5  PTAFR  CDK1  ALK  CDK5R1  RPS6KA3  NTRK1  SSTR3  MAPK9  JUN  GRK2  RORB  CDK2  MMP3  MMP12
4.43E-20,57,3300,3.913042304,GO:0070887 cellular response to chemical stimulus , http://amigo.geneontology.org/amigo/term/GO:0070887, JAK2  RAMP1  IGF1R  THRB  MAPKAPK2  DRD1  NTRK1  TBK1  MTOR  CFTR  CALCRL  FKBP1A  SIRT1  ABL1  LGMN  MMP9  CDK9  ERBB2  RORC  NR1I2  EGFR  BRAF  SYK  INSR  JUN  SLC8A1  MAPK11  TGM2  BTK  DGAT2  PIK3CG  GNRHR  CCND1  SLC2A1  SMO  CDK4  CSNK1D  CCNA2  SRD5A1  CAPN2  CDK5  BDKRB2  GRM5  PTAFR  FASN  CDK1  ALK  CDK5R1  MMP12  SSTR3  CTSL  PIK3CD  MAPK9  MMP3  GRK2  RORB  CDK2
5.51E-19,38,1318,6.531633588,GO:0042325 regulation of phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0042325, CCND1  TEK  CCNB1  CCNH  IGF1R  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  ALK  INSR  CDK5R1  NTRK1  AURKB  MTOR  SIRT1  ABL1  PIK3CG  BRD4  BRAF  JAK2  CDC25B  CCKBR  CCNT1  CDK5  SYK  BDKRB2  GRM5  JUN  DRD1  MMP9  TAOK3  CSNK1D  SLC8A1  TBK1  TTK  CDC25C
6.64E-19,60,3932,3.456936233,GO:0006464 cellular protein modification process , http://amigo.geneontology.org/amigo/term/GO:0006464, SENP1  FKBP1A  SIRT1  JAK2  TNKS2  CCND1  TTK  CSNK1A1  ICMT  CDK2  CSNK1G2  CCNB1  CCNH  TAOK3  CDK4  CDK9  CSNK1D  CCNA2  CCNB3  CCNB2  MAPKAPK2  CDK5  MGAT2  CDK1  GRK2  CDK5R1  RPS6KA3  TBK1  MTOR  TGM2  AURKB  BTK  MAPK9  AURKA  ABL1  CDC25B  PIK3CG  TEK  CCNT1  RAMP1  IGF1R  ERBB2  BRD4  EGFR  BRAF  SYK  ALK  INSR  LCK  NTRK1  CDC25C  WEE1  BDKRB2  GRM5  JUN  DRD1  MAPK11  MMP9  SLC8A1  PIK3CD
