GardID	Name	Synonym	Matched Term
GARD:0000001	gracile syndrome	Fellman disease	disease
GARD:0000001	gracile syndrome	Fellman syndrome	syndrome
GARD:0000004	dipetalonemiasis	Dipetalonema infection	infection
GARD:0000005	abetalipoproteinemia	MTP deficiency	deficiency
GARD:0000005	abetalipoproteinemia	abetalipoproteinemia neuropathy	neuropathy
GARD:0000005	abetalipoproteinemia	familial hypobetalipoproteinemia	familial
GARD:0000006	acromesomelic dysplasia	acromesomelic dwarfism	dwarfism
GARD:0000011	alternating hemiplegia of childhood	alternating hemiplegia	alternating
GARD:0000011	alternating hemiplegia of childhood	alternating hemiplegia	hemiplegia
GARD:0000012	hypersensitivity pneumonitis	allergic pneumonitis	allergic
GARD:0000012	hypersensitivity pneumonitis	allergic pneumonitis	pneumonitis
GARD:0000012	hypersensitivity pneumonitis	alveolitis	alveolitis
GARD:0000013	aniridia-cerebellar ataxia-intellectual disability syndrome	gillespie syndrome	syndrome
GARD:0000016	ocular motor apraxia, cogan type	COMA	coma
GARD:0000017	arachnoid cyst	arachnoid cysts	arachnoid
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	pyrimidinemia, familial	familial
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	thymine-uracilurea	thymine
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	DPD deficiency	deficiency
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	Dpyd deficiency	deficiency
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	DYPD deficiency	deficiency
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	familial pyrimidinaemia	familial
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	familial pyrimidinemia	familial
GARD:0000023	blepharophimosis, ptosis, and epicanthus inversus syndrome	BPES, type 1	type
GARD:0000023	blepharophimosis, ptosis, and epicanthus inversus syndrome	BPES type 1	type
GARD:0000023	blepharophimosis, ptosis, and epicanthus inversus syndrome	BPES, type 2	type
GARD:0000027	cat-scratch disease	benign lymphoreticulosis	benign
GARD:0000029	charge syndrome	CHARGE association	charge
GARD:0000029	charge syndrome	CHARGE association	association
GARD:0000031	serpiginous choroiditis	peripapillary choriopathy	peripapillary
GARD:0000031	serpiginous choroiditis	Choroiditis, Serpiginous	choroiditis
GARD:0000031	serpiginous choroiditis	Choroiditis, Serpiginous	serpiginous
GARD:0000031	serpiginous choroiditis	serpiginous choroidopathy	serpiginous
GARD:0000031	serpiginous choroiditis	geographic choroiditis	geographic
GARD:0000031	serpiginous choroiditis	geographic choroiditis	choroiditis
GARD:0000035	tetrasomy 18p	Isochromosome 18p	p
GARD:0000042	tetrasomy 9p	Isochromosome 9p	p
GARD:0000043	mosaic trisomy 9	trisomy 9 mosaicism	trisomy
GARD:0000043	mosaic trisomy 9	trisomy 9 mosaicism	mosaicism
GARD:0000045	congenital varicella syndrome	Varicella embryopathy	varicella
GARD:0000046	corticobasal degeneration disorder	corticobasal degeneration	degeneration
GARD:0000046	corticobasal degeneration disorder	corticobasal syndrome	syndrome
GARD:0000054	duodenal atresia	duodenal stenosis	duodenal
GARD:0000054	duodenal atresia	duodenal stenosis	stenosis
GARD:0000059	spinocerebellar ataxia type 34	spinocerebellar ataxia 34	spinocerebellar
GARD:0000059	spinocerebellar ataxia type 34	spinocerebellar ataxia 34	ataxia
GARD:0000059	spinocerebellar ataxia type 34	erythrokeratodermia - ataxia	ataxia
GARD:0000060	iridocorneal endothelial syndrome	ICE syndrome	ice
GARD:0000060	iridocorneal endothelial syndrome	ICE syndrome	syndrome
GARD:0000065	Galloway-Mowat syndrome	Galloway syndrome	galloway
GARD:0000065	Galloway-Mowat syndrome	Galloway syndrome	syndrome
GARD:0000068	Hypoglossia-hypodactyly syndrome	Jussieu syndrome	syndrome
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia-adactylia	aglossia
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia-adactylia	adactylia
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia adactylia	aglossia
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia adactylia	adactylia
GARD:0000068	Hypoglossia-hypodactyly syndrome	hanhart syndrome	syndrome
GARD:0000076	hypohidrotic ectodermal dysplasia	CST syndrome	syndrome
GARD:0000079	metaphyseal chondrodysplasia, jansen type	Jansen disease	disease
GARD:0000083	autosomal dominant kenny-caffey syndrome	Kenny syndrome	syndrome
