GardID,DataSource,SourceID,ClassificationLevel,DisorderType,SourceName,SourceSynonym,OmimMember,ParentOrphaCode,ParentOrphaName,ParentGardID,RdRequestID
GARD:0006867,Orphanet,5,Disorder,[Disease],Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,"[LCHAD deficiency, LCHADD, Long-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency]",[609016],,,,
GARD:0010954,Orphanet,6,Disorder,[Disease],3-methylcrotonyl-CoA carboxylase deficiency,"[3-methylcrotonylglycinuria, MCC deficiency, MCCD]","[210210, 210200]",,,,
GARD:0005666,Orphanet,7,Disorder,[Malformation syndrome],3C syndrome,"[Craniocerebellocardiac dysplasia, Ritscher-Schinzel syndrome]","[300963, 619135, 220210]",,,,
GARD:0005674,Orphanet,8,Disorder,[Malformation syndrome],"47,XYY syndrome","[Double Y syndrome, XYY syndrome, Y disomy]",,,,,
GARD:0007754,Orphanet,9,Disorder,[Malformation syndrome],Tetrasomy X,"[48,XXXX syndrome, Quadruple X, Tetra X]",,,,,
GARD:0005677,Orphanet,10,Disorder,[Malformation syndrome],"48,XXYY syndrome",,,,,,
GARD:0005678,Orphanet,11,Disorder,[Malformation syndrome],Pentasomy X,"[49,XXXXX syndrome, Penta-X, Poly-X]",,,,,
GARD:0005682,Orphanet,13,Subtype of disorder,[Clinical subtype],6-pyruvoyl-tetrahydropterin synthase deficiency,[Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency],[261640],,,,
GARD:0000005,Orphanet,14,Disorder,[Disease],Abetalipoproteinemia,"[Bassen-Kornzweig disease, Homozygous familial hypobetalipoproteinemia]","[605019, 200100, 615558]",,,,
GARD:0008173,Orphanet,15,Disorder,[Disease],Achondroplasia,,[100800],,,,
GARD:0000917,Orphanet,16,Disorder,[Disease],Blue cone monochromatism,"[Atypical X-linked achromatopsia, Blue cone monochromacy, Color blindness, blue monocone monochromatic type, S cone monochromacy, S cone monochromatism, X-linked incomplete achromatopsia]",[303700],,,,
GARD:0003163,Orphanet,17,Disorder,[Disease],Fatal infantile lactic acidosis with methylmalonic aciduria,,[245400],,,,
GARD:0004667,Orphanet,18,Disorder,[Disease],Distal renal tubular acidosis,"[Classic RTA, Familial distal primary acidosis, Renal tubular acidosis type 1, dRTA]","[602722, 611590, 179800, 267300]",,,,
GARD:0010761,Orphanet,19,Group of disorders,[Clinical group],2-hydroxyglutaric aciduria,[2-hydroxyglutaric acidemia],,,,,
GARD:0008387,Orphanet,20,Disorder,[Disease],3-hydroxy-3-methylglutaric aciduria,"[3-hydroxy-3-methylglutaryl-CoA lyase deficiency, HMG-CoA lyase deficiency, Hydroxymethylglutaric aciduria]",[246450],,,,
GARD:0007695,Orphanet,22,Disorder,[Disease],Succinic semialdehyde dehydrogenase deficiency,"[4-hydroxybutyric aciduria, Gamma-hydroxybutyric aciduria, SSADH deficiency]",[271980],,,,
GARD:0005843,Orphanet,23,Disorder,[Disease],Argininosuccinic aciduria,"[ASA deficiency, ASL deficiency, Argininosuccinase deficiency, Argininosuccinatelyase deficiency, Argininosuccinic acid lyase deficiency]",[207900],,,,
GARD:0006476,Orphanet,24,Disorder,[Disease],Fumaric aciduria,[Fumarase deficiency],[606812],,,,
GARD:0006522,Orphanet,25,Disorder,[Disease],Glutaryl-CoA dehydrogenase deficiency,"[GA1, GCDHD, Glutaric acidemia type 1, Glutaric aciduria type 1, Glutaryl-coenzyme A dehydrogenase deficiency]",[231670],,,,
GARD:0003579,Orphanet,26,Disorder,[Disease],Methylmalonic acidemia with homocystinuria,"[Combined defect in adenosylcobalamin and methylcobalamin synthesis, Methylmalonic aciduria with homocystinuria]","[277410, 614857, 277400, 277380]",,,,
GARD:0003586,Orphanet,27,Disorder,[Disease],Vitamin B12-unresponsive methylmalonic acidemia,"[Methylmalonyl-CoA mutase deficiency, Methylmalonyl-Coenzyme A mutase deficiency, Vitamin B12-unresponsive methylmalonic aciduria]",[251000],,,,
GARD:0012623,Orphanet,28,Disorder,[Disease],Vitamin B12-responsive methylmalonic acidemia,"[Adenosylcobalamin deficiency, Vitamin B12-responsive methylmalonic aciduria]","[251110, 277410, 251100]",,,,
GARD:0003588,Orphanet,29,Subtype of disorder,[Clinical subtype],Mevalonic aciduria,"[Complete mevalonate kinase deficiency, MVA]",[610377],,,,
GARD:0005429,Orphanet,30,Disorder,[Disease],Hereditary orotic aciduria,"[Orotidylic decarboxylase deficiency, Uridine monophosphate synthetase deficiency]",[258900],,,,
GARD:0000617,Orphanet,31,Disorder,[Disease],Oxoglutaric aciduria,[Alpha-ketoglutarate dehydrogenase deficiency],[203740],,,,
GARD:0010047,Orphanet,32,Disorder,[Disease],Glutathione synthetase deficiency,[Pyroglutamicaciduria],"[266130, 231900]",,,,
GARD:0000465,Orphanet,33,Disorder,[Disease],Isovaleric acidemia,[Isovaleric acid CoA dehydrogenase deficiency],[243500],,,,
GARD:0000467,Orphanet,35,Disorder,[Disease],Propionic acidemia,"[Ketotic hyperglycinemia, Propionic aciduria, Propionyl-CoA carboxylase deficiency]",[606054],,,,
GARD:0005721,Orphanet,36,Disorder,[Malformation syndrome],Acrocallosal syndrome,[ACS],[200990],,,,
GARD:0005723,Orphanet,37,Disorder,[Disease],Acrodermatitis enteropathica,"[AEZ, Acrodermatitis enteropathica, zinc deficiency type, Inherited zinc deficiency]",[201100],,,,
GARD:0000125,Orphanet,38,Disorder,[Disease],Acrokeratoelastoidosis of Costa,"[AKE, PPKP3, Punctate palmoplantar hyperkeratosis type 3, Punctate palmoplantar keratoderma type 3]",[101850],,,,
GARD:0004500,Orphanet,39,Disorder,[Disease],Acromelanosis,,,,,,
GARD:0000507,Orphanet,40,Disorder,[Malformation syndrome],"Acromesomelic dysplasia, Maroteaux type",,[602875],,,,
GARD:0000334,Orphanet,41,Disorder,[Disease],Dyschromatosis symmetrica hereditaria,[Acropigmentation of Dohi],[127400],,,,
GARD:0000540,Orphanet,42,Disorder,[Disease],Medium chain acyl-CoA dehydrogenase deficiency,"[ACADM deficiency, Carnitine deficiency secondary to medium-chain acyl-CoA dehydrogenase deficiency, MCAD deficiency, MCADD, Medium chain acyl-coenzyme A dehydrogenase deficiency]",[201450],,,,
GARD:0005758,Orphanet,43,Disorder,[Disease],X-linked adrenoleukodystrophy,"[ALD, X-ALD, X-linked ALD]","[300100, 302700]",,,,
GARD:0000559,Orphanet,44,Disorder,[Disease],Neonatal adrenoleukodystrophy,"[Intermediate PBD-ZSD, Intermediate peroxisome biogenesis disorder-Zellweger spectrum disorder, NALD]","[614867, 614885, 601539, 266510, 614871, 617370, 614873, 202370, 614877, 614920, 614863]",,,,
GARD:0000547,Orphanet,45,Disorder,[Disease],Adenosine monophosphate deaminase deficiency,"[AMP deaminase deficiency, Myoadenylate deaminase deficiency]","[615511, 612874]",,,,
GARD:0000550,Orphanet,46,Disorder,[Disease],Adenylosuccinate lyase deficiency,"[ADSL deficiency, Adenylosuccinase deficiency]",[103050],,,,
GARD:0001033,Orphanet,47,Subtype of disorder,[Clinical subtype],X-linked agammaglobulinemia,"[BTK-deficiency, Bruton type agammaglobulinemia]","[300310, 300755]",,,,
GARD:0005461,Orphanet,48,Disorder,[Morphological anomaly],Congenital bilateral absence of vas deferens,"[Congenital bilateral agenesis of vas deferens, Congenital bilateral aplasia of vas deferens]","[300985, 277180]",,,,
GARD:0004272,Orphanet,49,Disorder,[Morphological anomaly],Penile agenesis,"[Aphallia, Penis agenesis]",,,,,
GARD:0005764,Orphanet,50,Disorder,[Disease],Aicardi syndrome,[Agenesis of corpus callosum with chorioretinal abnormality],[304050],,,,
GARD:0000575,Orphanet,51,Disorder,[Disease],Aicardi-Goutières syndrome,"[Encephalopathy with basal ganglia calcification, Encephalopathy with intracranial calcification and chronic lymphocytosis of cerebrospinal fluid]","[610333, 610181, 225750, 114100, 612952, 615010, 615846, 610329]",,,,
GARD:0000804,Orphanet,52,Disorder,[Malformation syndrome],Alagille syndrome,"[Alagille-Watson syndrome, Arteriohepatic dysplasia, Syndromic bile duct paucity]","[118450, 610205]",,,,
GARD:0000383,Orphanet,53,Disorder,[Malformation syndrome],Albers-Schönberg osteopetrosis,[Osteopetrosis autosomal dominant type 2],[166600],,,,
GARD:0008471,Orphanet,54,Disorder,[Disease],X-linked recessive ocular albinism,"[OA1, Ocular albinism type 1, Ocular albinism, Nettleship-Falls type, XLOA]",[300500],,,,
GARD:0010958,Orphanet,55,Group of disorders,[Clinical group],Oculocutaneous albinism,[OCA],,,,,
GARD:0005775,Orphanet,56,Disorder,[Disease],Alkaptonuria,"[Hereditary ochronosis, Homogentisic acid oxidase deficiency]",[203500],,,,
GARD:0000600,Orphanet,57,Disorder,[Disease],Glycogen storage disease due to aldolase A deficiency,"[GSD due to aldolase A deficiency, GSD type 12, GSD type XII, Glycogen storage disease type 12, Glycogen storage disease type XII, Glycogenosis due to aldolase A deficiency, Glycogenosis type 12, Glycogenosis type XII]",[611881],,,,
GARD:0005774,Orphanet,58,Disorder,[Disease],Alexander disease,[AxD],[203450],,,,
GARD:0005617,Orphanet,59,Disorder,[Disease],Allan-Herndon-Dudley syndrome,"[AHDS, MCT8 deficiency, Monocarboxylate transporter 8 deficiency, X-linked intellectual disability-hypotonia syndrome]",[300523],,,,
GARD:0005784,Orphanet,60,Disorder,[Disease],Alpha-1-antitrypsin deficiency,"[Alpha-1-proteinase inhibitor deficiency, Alpha1-antitrypsin deficiency]",[613490],,,,
GARD:0006968,Orphanet,61,Disorder,[Disease],Alpha-mannosidosis,[Lysosomal alpha-D-mannosidase deficiency],[248500],,,,
GARD:0000438,Orphanet,62,Disorder,[Disease],Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3,"[Alpha-sarcoglycan-related LGMD R3, Alpha-sarcoglycanopathy, Autosomal recessive limb-girdle muscular dystrophy type 2D, LGMD due to alpha-sarcoglycan deficiency, LGMD type 2D, LGMD2D, Limb-girdle muscular dystrophy due to alpha-sarcoglycan deficiency, Limb-girdle muscular dystrophy type 2D]",[608099],,,,
GARD:0005785,Orphanet,63,Disorder,[Disease],Alport syndrome,"[Alport deafness-nephropathy, Alport hearing loss-nephropathy]","[301050, 104200, 203780]",,,,
GARD:0005787,Orphanet,64,Disorder,[Disease],Alström syndrome,,[203800],,,,
GARD:0000634,Orphanet,65,Disorder,[Disease],Leber congenital amaurosis,[Amaurosis congenita of Leber],"[615360, 179900, 604232, 604537, 613829, 612712, 613837, 604393, 608553, 618513, 614186, 611755, 204100, 613341, 613826, 613835, 610612, 204000, 613843]",,,,
GARD:0018675,Orphanet,67,Disorder,[Disease],Amoebiasis due to Entamoeba histolytica,,,,,,
GARD:0012650,Orphanet,68,Disorder,[Disease],Amoebiasis due to free-living amoebae,,,,,,
GARD:0018676,Orphanet,69,Group of disorders,[Category],Amyloidosis,,,,,,
GARD:0004531,Orphanet,70,Disorder,[Disease],Proximal spinal muscular atrophy,[SMA],"[253400, 253550, 271150, 253300]",,,,
GARD:0009683,Orphanet,71,Disorder,[Disease],Chylomicron retention disease,"[Anderson disease, CMRD, CRD]",[246700],,,,
GARD:0005810,Orphanet,72,Disorder,[Malformation syndrome],Angelman syndrome,,[105830],,,,
