GardID,XrefSource,SourceID,MapRelationship
GARD:0000001,ICD-10,E88.8,NTBT
GARD:0000001,MeSH,C537934,Exact
GARD:0000001,OMIM,603358,Exact
GARD:0000001,Orphanet,53693,Exact
GARD:0000001,SNOMED-CT,703388005,NA
GARD:0000001,UMLS,C1864002,Exact
GARD:0000003,ICD-10,Q87.0,NTBT
GARD:0000003,MeSH,C535557,Exact
GARD:0000003,OMIM,200110,Exact
GARD:0000003,Orphanet,920,Exact
GARD:0000003,SNOMED-CT,718575002,NA
GARD:0000003,UMLS,C1860224,Exact
GARD:0000005,ICD-10,E78.6,NTBT
GARD:0000005,MeSH,D000012,Exact
GARD:0000005,OMIM,615558,BTNT
GARD:0000005,OMIM,200100,BTNT
GARD:0000005,OMIM,605019,BTNT
GARD:0000005,Orphanet,14,Exact
GARD:0000005,SNOMED-CT,190787008,NA
GARD:0000005,UMLS,C0000744,Exact
GARD:0000006,ICD-11,LD24.9,Exact
GARD:0000006,MeSH,C535658,Exact
GARD:0000006,Orphanet,93437,Exact
GARD:0000006,UMLS,C0265278,Exact
GARD:0000007,ICD-10,Q77.8,NTBT
GARD:0000007,MeSH,C535662,Exact
GARD:0000007,OMIM,102370,Exact
GARD:0000007,Orphanet,969,Exact
GARD:0000007,SNOMED-CT,254090007,NA
GARD:0000007,UMLS,C0265287,Exact
GARD:0000011,ICD-10,G98,NTBT
GARD:0000011,MeSH,C536589,Exact
GARD:0000011,OMIM,614820,BTNT
GARD:0000011,OMIM,104290,BTNT
GARD:0000011,Orphanet,2131,Exact
GARD:0000011,SNOMED-CT,230466004,NA
GARD:0000011,UMLS,C0338488,Exact
GARD:0000012,ICD-10,J67.6,BTNT
GARD:0000012,ICD-10,J67.1,BTNT
GARD:0000012,ICD-10,J67.0,BTNT
GARD:0000012,ICD-10,J67.8,BTNT
GARD:0000012,ICD-10,J67.4,BTNT
GARD:0000012,ICD-10,J67.2,BTNT
GARD:0000012,ICD-10,J67.7,BTNT
GARD:0000012,ICD-10,J67.9,BTNT
GARD:0000012,ICD-10,J67.5,BTNT
GARD:0000012,ICD-10,J67.3,BTNT
GARD:0000012,MeSH,D000542,Exact
GARD:0000012,MedDRA,10001890,Exact
GARD:0000012,Orphanet,31740,Exact
