primary category,2nd category,StudyFields,Patient,HCP,Clin Res,Study Dir,Public Health Analyst,Inform. Analyst,,,"P, HCP, Infor",Overall,Comments,286
Clinical Trial,,Acronym,1,1,1,1,1,1,,,1,1,,
,,AgreementOtherDetails,,,,1,1,1,,,1,1,,
,,AgreementPISponsorEmployee,,,,1,1,1,,,1,1,,
,,AgreementRestrictionType,,,,1,1,1,,,1,1,,
,,AgreementRestrictiveAgreement,,,,1,1,1,,,1,1,,
,cohort,ArmGroupDescription,1,1,1,1,1,1,,,1,1,,
,cohort,ArmGroupInterventionName,1,1,1,1,1,1,,,1,1,,
,cohort,ArmGroupLabel,1,1,1,1,1,1,,,1,1,,
,cohort,ArmGroupType,1,1,1,1,1,1,,,1,1,,
IndividualPatientData,,AvailIPDComment,,,1,,1,1,,,1,1,,
IndividualPatientData,,AvailIPDId,,,1,,1,1,,,1,1,,
IndividualPatientData,,AvailIPDType,,,1,,1,1,,,1,1,,
IndividualPatientData,,AvailIPDURL,,,1,,1,1,,,1,1,,
,,BaselineCategoryTitle,,,1,1,1,,,,0,1,,
,,BaselineClassDenomCountGroupId,,,1,1,1,,,,0,1,,
,,BaselineClassDenomCountValue,,,1,1,1,,,,0,1,,
,,BaselineClassDenomUnits,,,1,1,1,,,,0,1,,
,,BaselineClassTitle,,,1,1,1,,,,0,1,,
,,BaselineDenomCountGroupId,,,1,1,1,,,,0,1,,
,,BaselineDenomCountValue,,,1,1,1,,,,0,1,,
,,BaselineDenomUnits,,,1,1,1,,,,0,1,,
,,BaselineGroupDescription,,,1,1,1,,,,0,1,,
,,BaselineGroupId,,,1,1,1,,,,0,1,,
,,BaselineGroupTitle,,,1,1,1,,,,0,1,,
,,BaselineMeasureCalculatePct,,,1,1,1,,,,0,1,,
,,BaselineMeasureDenomCountGroupId,,,1,1,1,,,,0,1,,
,,BaselineMeasureDenomCountValue,,,1,1,1,,,,0,1,,
,,BaselineMeasureDenomUnits,,,1,1,1,,,,0,1,,
,,BaselineMeasureDenomUnitsSelected,,,1,1,1,,,,0,1,,
,,BaselineMeasureDescription,,,1,1,1,,,,0,1,,
,,BaselineMeasureDispersionType,,,1,1,1,,,,0,1,,
,,BaselineMeasureParamType,,,1,1,1,,,,0,1,,
,,BaselineMeasurePopulationDescription,,,1,1,1,,,,0,1,,
,,BaselineMeasureTitle,,,1,1,1,,,,0,1,,
,,BaselineMeasureUnitOfMeasure,,,1,1,1,,,,0,1,,
,,BaselineMeasurementComment,,,1,1,1,,,,0,1,,
,,BaselineMeasurementGroupId,,,1,1,1,,,,0,1,,
,,BaselineMeasurementLowerLimit,,,1,1,1,,,,0,1,,
,,BaselineMeasurementSpread,,,1,1,1,,,,0,1,,
,,BaselineMeasurementUpperLimit,,,1,1,1,,,,0,1,,
,,BaselineMeasurementValue,,,1,1,1,,,,0,1,,
,,BaselinePopulationDescription,,,1,1,1,,,,0,1,,
,,BaselineTypeUnitsAnalyzed,,,1,1,1,,,,0,1,,
,,BioSpecDescription,,,1,1,1,,,,0,1,,
,,BioSpecRetention,,,1,1,1,,,,0,1,,
Clinical Trial,,BriefSummary,1,1,1,1,1,1,,,1,1,,
Clinical Trial,,BriefTitle,1,1,1,1,1,1,,,1,1,,
Sponsor,,CentralContactEMail,1,1,1,1,1,,,,1,1,,
Sponsor,,CentralContactName,1,1,1,1,1,,,,1,1,,
Sponsor,,CentralContactPhone,1,1,1,1,1,,,,1,1,,
Sponsor,,CentralContactPhoneExt,1,1,1,1,1,,,,1,1,,
Sponsor,,CentralContactRole,1,1,1,1,1,,,,1,1,,
Collaborator,,CollaboratorClass,,,1,1,1,1,,,1,1,Determines FunderType,
Collaborator,,CollaboratorName,,1,1,1,,,,,1,1,,
Clinical Trial,,CompletionDate,1,1,1,1,1,,,,1,1,,
Clinical Trial,,CompletionDateType,1,1,1,1,1,,,,1,1,,
Condition,,Condition,1,1,1,1,1,1,,,1,1,,
Condition,,ConditionAncestorId,,,1,1,1,1,,,1,1,MeSH ID,
Condition,,ConditionAncestorTerm,1,1,1,1,1,1,,,1,1,"Related conditions, families, classes",
Condition,,ConditionBrowseBranchAbbrev,,,,,,1,,,1,1,,
Condition,,ConditionBrowseBranchName,1,1,1,1,1,1,,,1,1,,
Condition,,ConditionBrowseLeafAsFound,,,,,,1,,,1,1,,
Condition,,ConditionBrowseLeafId,,,1,1,1,1,,,1,1,,
Condition,,ConditionBrowseLeafName,,,1,1,1,1,,,1,1,,
Condition,,ConditionBrowseLeafRelevance,,,,,,1,,,1,1,,
Condition,,ConditionMeshId,,,1,1,1,1,,,1,1,Promotion of standards (FAIR),
Condition,,ConditionMeshTerm,,1,1,1,1,1,,,1,1,,
,,DelayedPosting,,,,,1,,,,0,1,Maybe for PHA but rarely populated,
StudyDesign,,DesignAllocation,,,1,1,1,1,,,1,1,,
StudyDesign,,DesignInterventionModel,,1,1,1,1,1,,,1,1,,
StudyDesign,,DesignInterventionModelDescription,,1,1,1,1,1,,,1,1,,
StudyDesign,,DesignMasking,1,1,1,1,1,1,,,1,1,,
StudyDesign,,DesignMaskingDescription,1,1,1,1,1,1,,,1,1,,
StudyDesign,,DesignObservationalModel,,,,,,1,,,1,1,,
StudyDesign,,DesignPrimaryPurpose,1,1,1,1,1,1,,,1,1,,
StudyDesign,,DesignTimePerspective,,,1,1,1,1,,,1,1,,
,,DesignWhoMasked,,,1,1,1,,,,0,1,,
StudyDesign,,DetailedDescription,1,1,1,1,1,,,,1,1,,
,,DispFirstPostDate,,,,,1,,,,0,1,,
,,DispFirstPostDateType,,,,,1,,,,0,1,,
,,DispFirstSubmitDate,,,,,1,,,,0,1,,
,,DispFirstSubmitQCDate,,,,,1,,,,0,1,,
Paticipant,,EligibilityCriteria,1,1,1,1,1,,,,1,1,,
Paticipant,,EnrollmentCount,1,1,1,1,1,,,,1,1,,
Paticipant,,EnrollmentType,1,1,1,1,1,,,,1,1,,
,,EventGroupDeathsNumAffected,,,,,,,,,0,0,Events,
,,EventGroupDeathsNumAtRisk,,,,,,,,,0,0,Events,
,,EventGroupDescription,,,,,,,,,0,0,Events,
,,EventGroupId,,,,,,,,,0,0,Events,
,,EventGroupOtherNumAffected,,,,,,,,,0,0,Events,
,,EventGroupOtherNumAtRisk,,,,,,,,,0,0,Events,
,,EventGroupSeriousNumAffected,,,,,,,,,0,0,Events,
,,EventGroupSeriousNumAtRisk,,,,,,,,,0,0,Events,
,,EventGroupTitle,,,,,,,,,0,0,Events,
,,EventsDescription,,,,,,,,,0,0,Events,
,,EventsFrequencyThreshold,,,,,,,,,0,0,Events,
,,EventsTimeFrame,,,,,,,,,0,0,Events,
ExpandedAccess,,ExpAccTypeIndividual,1,1,,1,1,,,,1,1,,
ExpandedAccess,,ExpAccTypeIntermediate,1,1,,1,1,,,,1,1,,
ExpandedAccess,,ExpAccTypeTreatment,1,1,,1,1,,,,1,1,,
ExpandedAccess,,ExpandedAccessNCTId,1,1,,1,1,,,,1,1,,
ExpandedAccess,,ExpandedAccessStatusForNCTId,1,1,,1,1,,,,1,1,,
,,FDAAA801Violation,,,,,1,,,,0,1,,
,,FlowAchievementComment,,,1,,,,,,0,1,,
,,FlowAchievementGroupId,,,1,,,,,,0,1,,
,,FlowAchievementNumSubjects,,,1,,,,,,0,1,,
,,FlowAchievementNumUnits,,,1,,,,,,0,1,,
,,FlowDropWithdrawComment,,,1,,,,,,0,1,,
,,FlowDropWithdrawType,,,1,,,,,,0,1,,
,,FlowGroupDescription,,,1,,,,,,0,1,,
,,FlowGroupId,,,1,,,,,,0,1,,
,,FlowGroupTitle,,,1,,,,,,0,1,,
,,FlowMilestoneComment,,,1,,,,,,0,1,,
,,FlowMilestoneType,,,1,,,,,,0,1,,
,,FlowPeriodTitle,,,1,,,,,,0,1,,
,,FlowPreAssignmentDetails,,,1,,,,,,0,1,,
,,FlowReasonComment,,,1,,,,,,0,1,,
,,FlowReasonGroupId,,,1,,,,,,0,1,,
,,FlowReasonNumSubjects,,,1,,,,,,0,1,,
,,FlowReasonNumUnits,,,1,,,,,,0,1,,
,,FlowRecruitmentDetails,,,1,,,,,,0,1,,
,,FlowTypeUnitsAnalyzed,,,1,,,,,,0,1,,
Paticipant,,Gender,1,1,1,1,1,,,,1,1,,
Paticipant,,GenderBased,1,1,1,1,1,,,,1,1,,
Paticipant,,GenderDescription,1,1,1,1,1,,,,1,1,,
ExpandedAccess,,HasExpandedAccess,1,1,1,1,1,,,,1,1,,
Paticipant,,HealthyVolunteers,1,1,1,1,1,,,,1,1,,
IndividualPatientData,,IPDSharing,,,1,1,1,1,,,1,1,IPD: individal patient data,
