NCTId,GARDId,OfficialTitle,BriefTitle,BriefSummary,Condition
NCT03773276,GARD:0000094,Norepinephrine Boluses for Prevention of Postreperfusion Syndrome in Living Donor Liver Transplantation,Norepinephrine Boluses in Liver Transplantation,"We study the efficacy of Norepinephrine boluses on prevention of postreperfusion syndrome during living donor liver transplantation.

NE and Post-reperfusion:

On portal vein declamping, we will start rapid 500 ml 4% albumin infusion or packed RBCs (according to the anhepatic hemoglobin level 5 min before declamping) through 14 Gauge peripheral venous cannula in all patients.

NE boluses technique; We will inject NE boluses in the C.V.P port of the pulmonary artery catheter with 5 ml saline flushing after each. After reperfusion, we will start bolus noradrenaline 20 µg if mean arterial blood pressure (mABP) decreases by 10 % or more of the basal reading (immediately before portal vein declamping after ensuring withholding of the surgical manipulation). Additional NE boluses will be given as follow;

If mABP rises to 65 mmHg (lowest target level), we will hold NE boluses.
If mABP remains constant or begins to rise but did not reach 65 mmHg, we will give 20 µg after 10 seconds from the previous bolus
If mABP continues to drop, we will add 10 µg to the previous dose after 10 seconds and can be repeated.
If mABP remains below 65 mmHg more than 1 minute, we will give the scheduled bolus NE with adding 10 µg adrenaline boluses.",['Postperfusion Syndrome']
NCT04035837,GARD:0000094,A Study of Peg-interferon Treatment for Nucleos(t)Ide Analogues Suppressed Chronic Hepatitis B Patients With Low Level Hepatitis Surface Antigen,The Clinical Cure Project of Chronic Hepatitis B in China,"Chronic hepatitis B is a global public health problem, with nearly 700,000 deaths each year because of hepatitis B-related diseases. Recent studies have found that some patients who have used nucleot(s)ide analogues(NAs) for some period can achieve higher hepatitis B surface antigen(HBsAg) clearance rate(which is called clinical cure or functional cure) by using pegylated interferon. Patients who achieve clinical cure will further reduce liver inflammation, fibrosis and risks of liver cirrhosis and cancer in the future. This study was initiated in May 2018 and plans to recruit 30,000 eligible patients. The enrollment conditions are as follows: 1. according with the diagnosis of chronic hepatitis B in the guideline of China in 2015; 2.18-60 years old; 3. more than 1 year history of NAs therapy with HBsAg ≤1500 IU/ml, negative hepatitis e antigen and hepatitis B virus DNA<100 IU/ml; 4. no contraindications of interferon. For the above patients, pegylated interferon was used for 1-2 years(combined with NAs for at least 3 months).The primary goal of this study is to find out the optimal treatment for clinical cure.","['Hepatitis B, Chronic']"
NCT05470777,GARD:0000522,Safety and Efficacy of CD22/CD19 CAR T-cells and Autologous HSCT Sandwich Strategy as Consolidation Therapy for B-cell Acute Lymphoblastic Leukemia,CD22/CD19 CAR-T and Auto-HSCT Sandwich Strategy as Consolidation Therapy for B-ALL,"Chimeric antigen receptor T-cell (CAR-T) therapy has achieved remarkable efficacy in B-cell acute lymphoblastic leukemia (B-ALL). However, relapse after CAR-T has been a major issue. Multi-antigen CAR T and combination with other regimens may reduce the relapse rate. We first conducted CD22/CD19 CAR T-cells and auto-HSCT ""sandwich "" strategy as consolidation therapy in patients with B-ALL. The main Purpose of this study was to observe the safety and efficacy of this new strategy.",['B-cell Acute Lymphoblastic Leukemia']
NCT00322361,GARD:0000848,"A Study in Healthy Neonates of Safety, Tolerability, and Immunogenicity of Recombinant Hepatitis B Vaccine Manufactured Using a Modified Process",Modified Process Hepatitis B Vaccine in Healthy Neonates (V232-056),"Hepatitis B Vaccine [Recombinant] is a well-established vaccine which has been used extensively, worldwide since its initial licensure in 1986. Hepatitis B vaccines: [1] induce protection against the morbidity and mortality of acute hepatitis B virus infection, [2] reduce the incidence of chronic infection in vaccinated populations, and [3] thereby, reduce the incidence of hepatocellular carcinoma. The purpose of the trial is to assess if the new manufacturing process of the Hepatitis B Vaccine [Recombinant] vaccine shows the same level of hepatitis B antibody response or better as the currently licensed Hepatitis B Vaccine [Recombinant] vaccine. This study will also confirm that the new process vaccine is as well tolerated as the current vaccine.",['Hepatocellular Carcinoma']
NCT00003675,GARD:0001356,A Randomized Phase II Trial of Oral Topotecan Given Twice a Day for 5 Days or Once a Day for 10 Days to Patients With Myelodysplastic Syndromes (MDS),Topotecan in Treating Patients With Myelodysplastic Syndrome,"RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die.

PURPOSE: Randomized phase II trial to study the effectiveness of topotecan in treating patients who have myelodysplastic syndrome.",['Myelodysplastic Syndromes']
NCT00489970,GARD:0001875,"Persistence Study of GSK Biologicals' Tdap Vaccine (776423), 1, 3, 5 and 9 Years Following Administration as a Single Dose in NCT00346073 Study and to Evaluate the Immunogenicity and Safety of Boostrix as a Second Dose of Tdap, When Administered at Year 9","Persistence Study of GSK Biologicals' Tdap Vaccine 1, 3, 5 and 9 Years Following Administration as an Initial Single Dose in Healthy Young Adults and to Evaluate the Immunogenicity and Safety of Boostrix as a Second Dose of Tdap, When Administered at Year 9","The purpose of this study is to evaluate the persistence of antibodies against all the vaccine antigens 1, 3, 5 and 9 years after an initial vaccination with Tdap, and also to assess immunogenicity and safety of another dose of Boostrix, administered in this study.

This protocol posting deals with objectives and outcome measures of the extension phase. The objectives and outcome measures of the primary phase are presented in a separate protocol posting (NCT number = NCT00346073).",['Diphtheria']
NCT00489970,GARD:0001875,"Persistence Study of GSK Biologicals' Tdap Vaccine (776423), 1, 3, 5 and 9 Years Following Administration as a Single Dose in NCT00346073 Study and to Evaluate the Immunogenicity and Safety of Boostrix as a Second Dose of Tdap, When Administered at Year 9","Persistence Study of GSK Biologicals' Tdap Vaccine 1, 3, 5 and 9 Years Following Administration as an Initial Single Dose in Healthy Young Adults and to Evaluate the Immunogenicity and Safety of Boostrix as a Second Dose of Tdap, When Administered at Year 9","The purpose of this study is to evaluate the persistence of antibodies against all the vaccine antigens 1, 3, 5 and 9 years after an initial vaccination with Tdap, and also to assess immunogenicity and safety of another dose of Boostrix, administered in this study.

This protocol posting deals with objectives and outcome measures of the extension phase. The objectives and outcome measures of the primary phase are presented in a separate protocol posting (NCT number = NCT00346073).",['Diphtheria']
NCT00489970,GARD:0001875,"Persistence Study of GSK Biologicals' Tdap Vaccine (776423), 1, 3, 5 and 9 Years Following Administration as a Single Dose in NCT00346073 Study and to Evaluate the Immunogenicity and Safety of Boostrix as a Second Dose of Tdap, When Administered at Year 9","Persistence Study of GSK Biologicals' Tdap Vaccine 1, 3, 5 and 9 Years Following Administration as an Initial Single Dose in Healthy Young Adults and to Evaluate the Immunogenicity and Safety of Boostrix as a Second Dose of Tdap, When Administered at Year 9","The purpose of this study is to evaluate the persistence of antibodies against all the vaccine antigens 1, 3, 5 and 9 years after an initial vaccination with Tdap, and also to assess immunogenicity and safety of another dose of Boostrix, administered in this study.

This protocol posting deals with objectives and outcome measures of the extension phase. The objectives and outcome measures of the primary phase are presented in a separate protocol posting (NCT number = NCT00346073).",['Diphtheria']
NCT02144532,GARD:0002081,Effectiveness of Wearing a Compression Garment (SED CICATREX® Model) for Patients With Hypermobility Type of Ehlers-Danlos Syndrome,Wearing a Compression Garment for Patients With Hypermobility Type of Ehlers-Danlos Syndrome,"The Ehlers-Danlos syndrome (EDS) is a rare genetic disease caused by an anomaly of the connective tissue. This syndrome has different forms. Hypermobility type is the most common. It is characterized by generalized joint hypermobility, associated with a chronic pain syndrome. Pains appear as the most frequent demonstration of this syndrome, the worst lived and the most crippling.

Faced with insufficient effect of drug treatment, other alternatives have been proposed to relieve these patients. Compression garments have been developed. They appear as medical devices targeted specifically for patients with hypermobility EDS type: in the symptomatic treatment of joint pain, in stabilizing joints by proprioceptive effect and of muscle globulization, and in the functional improvement.

The VETCOSED study is a quasi-experimental study of type ""Before / After"", monocentric, open. The study is realized in the Centre Médico-Chirurgical et de Réadaptation des Massues - Croix Rouge Française de Lyon, in association with the Pôle Information Médicale Evaluation Recherche des Hospices Civils de Lyon. This study concerns about 40 patients with EDS hypermobility type, which will be followed for 8 weeks: 4 weeks during which they will wear a compression custom-made garment (short-sleeved vest CICATREX SED®), and 4 weeks during which they do not carry this garment.

The main objective is to demonstrate the effectiveness of compression garments in the EDS hypermobility type, especially in terms of symptomatic improvement joint pain.

The main outcomes expected of this study are:

an improvement of the power and the peaks of couple of muscles rotators of shoulders.
a decrease of the pains and the defects of articular stability of the shoulder
an improvement of the quality of life and the functional independence of these patients",['Ehlers-Danlos Syndrome Hypermobility Type']
NCT04353466,GARD:0002441,"An Open-label, Investigator Initiated Clinical Trial to Asses Impact of Elelyso on Bone Involvement in Patients With Gaucher Disease Currently Treated With Other ERTs",Assessing the Impact of Elelyso on Bone Involvement Currently Treated With Other ERTs,"The objective of this study is to assess Elelyso treatment on bone disease in Gaucher patients currently treated with other enzyme replacement therapy.

Experience from early access program (2009-2012) has suggested that some patients who have been stable on imiglucerase have shown poor scores of QCSI with Fat Fraction below the cut off point of 0.23 which is considered ""bone at risk"", and have demonstrated remarkable improvement upon switching to Elelyso, including particularly 2 patients who did not have any change in dose or any drug interruption prior to the switch.

These findings may be explained by the better glycan structure of imiglucerase (see Tekoah et al, 2013). The fact that in many patients prevention of bony complications is the main indication for ERT highlights the importance of this study, as all clinical trials of all ERTS heretofore did not include the bones as primary or secondary end-points but only as exploratory, and as such had only limited value,","['Gaucher Disease, Type 1']"
