gard_id,gard_name,disease_name,found_by,all_synonyms,
GARD:0000004,Acanthocheilonemiasis,acanthocheilonemiasis,exact_match,"[Dipetalonemiasis,Dipetalonema infections,Acanthocheilonema perstans infection,Mansonella perstans]",
GARD:0000005,Abetalipoproteinemia,abetalipoproteinemia,exact_match,"[Bassen Kornzweig syndrome,Microsomal triglyceride transfer protein deficiency disease,Microsomal triglyceride transfer protein deficiency,ABL,Abetalipoproteinemia neuropathy,Apolipoprotein B deficiency,Betalipoprotein deficiency disease,Congenital betalipoprotein deficiency syndrome,MTP deficiency,Bassen-Kornzweig disease,Homozygous familial hypobetalipoproteinemia]",
GARD:0000008,Agnosia,agnosia,exact_match,"[Primary visual agnosia,Monomodal visual amnesia,Visual amnesia]",
GARD:0000011,Alternating hemiplegia of childhood,alternating hemiplegia of childhood,exact_match,"[Alternating hemiplegia syndrome,AHC,Alternating hemiplegia]",
GARD:0000012,Hypersensitivity pneumonitis,hypersensitivity pneumonitis,exact_match,"[Allergic interstitial pneumonitis,Alveolitis, extrinsic allergic,Hypersensitivity pneumonitis,Allergic pneumonitis,Extrinsic allergic pneumonia hypersensitivity Pneumonitis,HP]",
GARD:0000017,Arachnoid cysts,arachnoid cysts,exact_match,"[Arachnoid cysts, intracranial,Intracranial arachnoid cysts]",
GARD:0000027,Cat scratch disease,cat scratch disease,exact_match,"[Bartonellosis due to Bartonella henselae infection,Cat scratch fever]",
GARD:0000029,CHARGE syndrome,charge syndrome,exact_match,"[Coloboma, heart anomaly, choanal atresia, retardation, genital and ear anomalies,CHARGE association,Hall-Hittner syndrome]",
GARD:0000030,Cholecystitis,cholecystitis,exact_match,"[Gallstone cholecystitis,Acalculous cholecystitis]",
GARD:0000031,Serpiginous choroiditis,serpiginous choroiditis,exact_match,"[Geographic choroiditis,Geographic helicoid peripapillary choroidopathy (GHPC),Geographic serpiginous choroiditis,Peripapillary choriopathy,Serpiginous choroidopathy]",
GARD:0000046,Corticobasal degeneration,corticobasal degeneration,exact_match,"[Cortical-Basal Ganglionic degeneration,Cortico-Basal Ganglionic Degeneration (CBGD),CBGD,Corticobasal syndrome]",
GARD:0000047,"Crigler Najjar syndrome, type 1","crigler najjar syndrome, type 1",exact_match,"[Crigler-Najjar syndrome, type I]",
GARD:0000054,Duodenal atresia,duodenal atresia,exact_match,[Duodenal stenosis],
GARD:0000059,Spinocerebellar ataxia 34,spinocerebellar ataxia 34,exact_match,"[SCA34,Giroux Barbeau Syndrome,Erythrokeratodermia - ataxia,Erythrokeratodermia with ataxia]",
GARD:0000060,Iridocorneal endothelial syndrome,iridocorneal endothelial syndrome,exact_match,[ICE syndrome],
GARD:0000069,Hantavirus pulmonary syndrome,hantavirus pulmonary syndrome,exact_match,"[HPS,Hantavirus,Hantavirus-associated respiratory distress syndrome,HARDS,Four corners hantavirus]",
GARD:0000070,Hemangioma thrombocytopenia syndrome,hemangioma thrombocytopenia syndrome,exact_match,"[Kasabach Merritt syndrome,Thrombocytopenia-hemangioma syndrome,Kasabach Merritt phenomenon,KMP]",
