2022-06-14 22:54:49,821 INFO:Started save_new_articles. Mindate: 2018/06/23  Maxdate: 2022/06/14
2022-06-14 22:54:49,826 DEBUG:[#0000]  C: <NEO4J POOL> routing address IPv4Address(('f4fc07bc.databases.neo4j.io', 7687))
2022-06-14 22:54:49,826 DEBUG:[#0000]  C: <NEO4J POOL> routing address IPv4Address(('disease.ncats.io', 7687))
2022-06-14 22:54:49,826 DEBUG:Attempting to update routing table from IPv4Address(('disease.ncats.io', 7687))
2022-06-14 22:54:49,826 DEBUG:[#0000]  C: <RESOLVE> disease.ncats.io:7687
2022-06-14 22:54:50,004 DEBUG:[#0000]  C: <OPEN> 18.215.169.174:7687
2022-06-14 22:54:50,052 DEBUG:[#ED7A]  C: <SECURE> disease.ncats.io
2022-06-14 22:54:50,185 DEBUG:[#ED7A]  C: <MAGIC> 0x6060B017
2022-06-14 22:54:50,185 DEBUG:[#ED7A]  C: <HANDSHAKE> 0x00020404 0x00000104 0x00000004 0x00000003
2022-06-14 22:54:50,248 DEBUG:[#ED7A]  S: <HANDSHAKE> 0x00000404
2022-06-14 22:54:50,248 DEBUG:[#ED7A]  C: HELLO {'user_agent': 'neo4j-python/4.4.4 Python/3.10.4-final-0 (win32)', 'routing': {'address': 'disease.ncats.io:7687'}}
2022-06-14 22:54:50,299 DEBUG:[#ED7A]  S: SUCCESS {'server': 'Neo4j/4.4.5', 'connection_id': 'bolt-52778', 'hints': {}}
2022-06-14 22:54:50,299 DEBUG:[#ED7A]  State: CONNECTED > READY
2022-06-14 22:54:50,311 DEBUG:[#ED7A]  C: ROUTE {'address': 'disease.ncats.io:7687'} () {}
2022-06-14 22:54:50,358 DEBUG:[#ED7A]  S: SUCCESS {'rt': {'servers': [{'addresses': ['disease.ncats.io:7687'], 'role': 'WRITE'}, {'addresses': ['disease.ncats.io:7687'], 'role': 'READ'}, {'addresses': ['disease.ncats.io:7687'], 'role': 'ROUTE'}], 'ttl': 300, 'db': 'neo4j'}}
2022-06-14 22:54:50,358 DEBUG:[#0000]  S: <ROUTING> table=RoutingTable(database='neo4j' routers={IPv4Address(('disease.ncats.io', 7687))}, readers={IPv4Address(('disease.ncats.io', 7687))}, writers={IPv4Address(('disease.ncats.io', 7687))}, last_updated_time=30006.158259, ttl=300)
2022-06-14 22:54:50,358 DEBUG:[#0000]  C: <UPDATE ROUTING TABLE> address=ResolvedIPv4Address(('18.215.169.174', 7687)) (RoutingTable(database='neo4j' routers={IPv4Address(('disease.ncats.io', 7687))}, readers={IPv4Address(('disease.ncats.io', 7687))}, writers={IPv4Address(('disease.ncats.io', 7687))}, last_updated_time=30006.158259, ttl=300))
