"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"PIK3CD"," PIK3CD","ENSG00000171608",5293,"protein_coding","Human","1",9.629889,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]",51.08,23,99226,2473,2778,83,1420,13
"LCK"," LCK","ENSG00000182866",3932,"protein_coding","Human","1",32.251244,"LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]",49.59,14,34922,882,1384,64,341,8
"HDAC1"," HDAC1","ENSG00000116478",3065,"protein_coding","Human","1",32.292083,"histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]",46.79,10,41553,1042,1045,58,582,6
"GPR88"," GPR88","ENSG00000181656",54112,"protein_coding","Human","1",100.538139,"G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539]",52.43,1,3883,1155,3492,218,1900,2
"PTPN22"," PTPN22","ENSG00000134242",26191,"protein_coding","Human","1",113.813811,"protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]",38.85,11,57943,1582,2143,97,542,13
"APH1A"," APH1A","ENSG00000117362",51107,"protein_coding","Human","1",150.265399,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]",53.83,9,4182,645,1100,328,858,4
"CTSK"," CTSK","ENSG00000143387",1513,"protein_coding","Human","1",150.79488,"cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]",42.99,20,14698,891,2307,95,635,7
"CHRNB2"," CHRNB2","ENSG00000160716",1141,"protein_coding","Human","1",154.567778,"cholinergic receptor nicotinic beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1962]",54.68,5,12236,1527,2723,242,1822,5
"NCSTN"," NCSTN","ENSG00000162736",23385,"protein_coding","Human","1",160.343294,"nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]",46.83,45,15659,1088,2728,61,383,13
"NR1I3"," NR1I3","ENSG00000143257",9970,"protein_coding","Human","1",161.229666,"nuclear receptor subfamily 1 group I member 3 [Source:HGNC Symbol;Acc:HGNC:7969]",48.75,35,8579,753,972,61,101,7
"AVPR1B"," AVPR1B","ENSG00000198049",553,"protein_coding","Human","1",206.106936,"arginine vasopressin receptor 1B [Source:HGNC Symbol;Acc:HGNC:896]",51.42,2,10764,1275,2786,498,3253,2
"PSEN2"," PSEN2","ENSG00000143801",5664,"protein_coding","Human","1",226.870184,"presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]",48.2,37,57543,972,2495,128,479,11
"EGLN1"," EGLN1","ENSG00000135766",54583,"protein_coding","Human","1",231.363751,"egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]",39.6,7,58537,574,1718,399,1133,4
"SLC8A1"," SLC8A1","ENSG00000183023",6546,"protein_coding","Human","2",40.09727,"solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]",37.43,12,513784,2137,5442,83,5254,7
"POLR1A"," POLR1A","ENSG00000068654",25885,"protein_coding","Human","2",86.020216,"RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]",46.69,15,85940,2600,2438,174,2117,10
"SCN9A"," SCN9A","ENSG00000169432",6335,"protein_coding","Human","2",166.195185,"sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]",34.44,13,180817,3058,4074,128,1426,13
"ACKR3"," ACKR3","ENSG00000144476",57007,"protein_coding","Human","2",236.567787,"atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]",50.01,2,14568,860,1364,52,800,2
"OXTR"," OXTR","ENSG00000180914",5021,"protein_coding","Human","3",8.750381,"oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]",49.96,4,19248,525,1566,191,2596,3
"RAF1"," RAF1","ENSG00000132155",5894,"protein_coding","Human","3",12.582101,"Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]",42.68,74,82101,935,2942,154,495,11
"THRB"," THRB","ENSG00000151090",7068,"protein_coding","Human","3",24.117153,"thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]",38.87,19,378604,924,3435,103,3400,8
"SCN5A"," SCN5A","ENSG00000183873",6331,"protein_coding","Human","3",38.548057,"sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593]",50.94,11,101631,5259,5117,63,1764,18
"GRM2"," GRM2","ENSG00000164082",2912,"protein_coding","Human","3",51.707068,"glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594]",55.81,8,11546,1480,2426,139,336,4
"HTR1F"," HTR1F","ENSG00000179097",3355,"protein_coding","Human","3",87.792706,"5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292]",36.31,1,201134,1101,3386,99,1989,3
"BCHE"," BCHE","ENSG00000114200",590,"protein_coding","Human","3",165.772904,"butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]",32.29,5,64559,1168,1779,72,352,4
"PRKCI"," PRKCI","ENSG00000163558",5584,"protein_coding","Human","3",170.222424,"protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]",39.8,7,83554,1791,1537,246,2850,5
"PDGFRA"," PDGFRA","ENSG00000134853",5156,"protein_coding","Human","4",54.22928,"platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]",43.66,10,68966,1145,1812,75,1528,8
"GNRHR"," GNRHR","ENSG00000109163",2798,"protein_coding","Human","4",67.737118,"gonadotropin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4421]",34.17,2,17271,868,2630,53,1736,3
"ABCG2"," ABCG2","ENSG00000118777",9429,"protein_coding","Human","4",88.09015,"ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]",41.38,5,141479,1289,2921,175,2047,11
"TACR3"," TACR3","ENSG00000169836",6870,"protein_coding","Human","4",103.586031,"tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]",35.63,1,133955,1398,5359,310,3651,5
