# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-05-16
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr1	1	27600000	1p36		607413	AD7CNTP	Alzheimer disease neuronal thread protein						
chr1	1	27600000	1p36		612367	ALPQTL2	Alkaline phosphatase, plasma level of, QTL 2		100196914		linkage with rs1780324	{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)	
chr1	1	123400001	1p		606788	ANON1	Anorexia nervosa, susceptibility to, 1		171514			{Anorexia nervosa, susceptibility to, 1}, 606788 (2)	
chr1	1	27600000	1p36		605462	BCC1	Basal cell carcinoma, susceptibility to, 1		100307118		associated with rs7538876	{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)	
chr1	1	27600000	1p36		606928	BMND3	Bone mineral density QTL 3		246259		?another locus at 3p21	[Bone mineral density QTL 3], 606928 (2)	
chr1	1	2300000	1p36.33		618815	C1DUPp36.33, DUP1p36.33	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster					Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant	
chr1	1	27600000	1p36		155600	CMM, MLM, DNS	Cutaneous malignant melanoma/dysplastic nevus		1243		some linkage studies negative; see 9p	{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant	
chr1	1	20100000	1pter-p36.13		115665	CTRCT8, CCV	Cataract, congenital, Volkmann type		7792		linked to Rh in Scottish family	Cataract 8, multiple types, 115665 (2), Autosomal dominant	
chr1	1	27600000	1p36		607872	DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome, distal				contiguous gene deletion syndrome	Chromosome 1p36 deletion syndrome, distal, 607872 (4), Isolated cases	
chr1	1	27600000	1p36		619343	DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome, proximal					Chromosome 1p36 deletion syndrome, proximal, 619343 (4), Autosomal dominant	
chr1	1	46300000	1p36-p34		608995	DYX8	Dyslexia, susceptibility to, 8		406874		between D1S552 and D1S1622	{Dyslexia, susceptibility to, 8}, 608995 (2), Autosomal dominant, Multifactorial	
